tree.id,rep,weight
mo644,2,22
mo649,3,27
mo649,1,6
mo649,2,21
mo645,1,15
mo682,3,28
mo625,2,24
mo650,2,11
mo640,3,22
mo682,2,22
mo626,1,8
mo667,3,8
mo675,3,39
mo647,3,9
mo665,3,15
mo666,1,13
mo648,2,23
mo667,1,15
mo638,1,20
mo667,2,12
mo646,2,8
mo664,2,14
mo675,1,13
mo626,3,16
mo666,3,24
mo664,1,12
mo666,2,10
mo643,1,16
mo641,1,20
mo662,1,27
mo664,3,18
mo638,3,17
mo682,1,16
mo641,2,7
mo625,3,21
mo662,3,13
mo650,1,36
mo650,3,12
mo645,3,23
mo642,3,8
mo633,3,20
mo663,2,20
mo674,1,15
mo642,1,6
mo647,2,5
mo647,1,10
mo662,2,7
mo645,2,11
mo641,2,28
mo626,2,13
mo632,3,19
mo638,2,17
mo634,1,22
mo634,3,60
mo644,3,17
mo643,2,16
mo644,1,23
mo665,1,13
mo674,2,11
mo668,3,10
mo665,2,10
mo646,3,16
mo631,2,13
mo646,1,5
mo648,3,18
mo677,1,14
mo625,1,17
mo677,2,23
mo623,3,22
mo675,2,25
mo674,3,17
mo648,1,24
mo623,2,25
mo627,3,22
mo643,3,24
mo629,2,36
mo623,1,16
mo633,3,21
mo673,1,17
mo621,3,20
mo624,2,23
mo634,2,22
mo627,1,8
mo633,2,20
mo673,3,17
mo632,1,11
mo624,3,21
mo631,1,19
mo637,3,15
mo633,1,8
mo673,2,13
mo637,2,18
mo629,3,23
mo641,3,16
mo637,1,22
mo635,1,37
mo640,1,31
mo668,2,11
mo668,1,15
mo624,1,14
mo642,2,10
mo627,2,34
mo632,2,19
mo663,1,25
mo677,3,10
mo658,1,9
mo659,3,5
mo670,1,14
mo653,3,32
mo678,2,29
mo669,1,17
mo676,2,13
mo679,1,13
mo670,2,7
mo654,3,18
mo671,3,10
mo629,1,16
mo630,3,22
mo657,2,14
mo622,3,49
mo628,3,15
mo680,1,7
mo659,2,27
mo678,1,17
mo655,2,10
mo636,1,35
mo658,2,11
mo661,1,14
mo672,1,14
mo621,2,14
mo678,3,5
mo621,1,24
mo622,1,17
mo631,3,10
mo630,2,12
mo630,1,14
mo622,2,18
mo636,2,16
mo635,2,10
mo628,1,19
mo628,2,28
mo635,3,16
mo652,3,13
mo680,3,10
mo672,2,20
mo661,3,6
mo660,3,13
mo661,2,16
mo659,1,12
mo653,2,12
mo658,3,20
mo660,1,12
mo651,2,16
mo676,3,9
mo679,3,15
mo672,3,17
mo679,2,5
mo669,3,10
mo657,1,8
mo669,2,9
mo655,3,25
mo636,3,31
mo653,1,16
mo680,2,14
mo654,1,21
mo654,2,27
mo655,1,14
mo656,2,22
mo656,1,16
mo651,3,16
mo651,1,8
mo656,3,17
mo660,2,10
mo652,1,24
mo652,2,14
mo657,3,19
mo671,2,7
mo671,1,13
mo670,3,13
mo676,1,6
