tree.id,unit,fuel,h_ratio
mo601,NW,C,C
mo602,NW,C,C
mo603,NW,C,C
mo604,NW,C,C
mo605,NW,C,C
mo606,NW,C,C
mo607,NW,C,C
mo608,NW,C,C
mo609,NW,C,C
mo610,NW,C,C
mo611,NW,C,C
mo612,NW,C,C
mo613,NW,C,C
mo614,NW,C,C
mo615,NW,C,C
mo616,NW,C,C
mo617,NW,C,C
mo618,NW,C,C
mo619,NW,C,C
mo620,NW,C,C
mo621,SW,H,H
mo622,SW,L,H
mo623,SW,L,L
mo624,SW,H,H
mo625,SW,L,H
mo626,SW,L,L
mo627,SW,H,L
mo628,SW,H,L
mo629,SW,H,H
mo630,SW,H,L
mo631,SW,L,L
mo632,SW,H,H
mo633,SW,L,H
mo634,SW,L,H
mo635,SW,H,L
mo636,SW,L,L
mo637,SW,H,H
mo638,SW,H,L
mo640,SW,L,L
mo641,SE,H,H
mo642,SE,H,H
mo643,SE,H,H
mo644,SE,H,L
mo645,SE,L,H
mo646,SE,L,H
mo647,SE,H,L
mo648,SE,H,L
mo649,SE,L,H
mo650,SE,L,H
mo651,SE,H,L
mo652,SE,H,H
mo653,SE,L,L
mo654,SE,L,L
mo655,SE,H,H
mo656,SE,L,H
mo657,SE,L,L
mo658,SE,H,L
mo659,SE,L,L
mo660,SE,L,L
mo661,NE,H,H
mo662,NE,L,H
mo663,NE,H,L
mo664,NE,L,L
mo665,NE,H,L
mo666,NE,H,H
mo667,NE,H,L
mo668,NE,L,H
mo669,NE,L,H
mo670,NE,H,H
mo671,NE,L,L
mo672,NE,H,H
mo673,NE,L,L
mo674,NE,H,L
mo675,NE,L,L
mo676,NE,H,L
mo677,NE,H,H
mo678,NE,L,H
mo679,NE,L,L
mo680,NE,L,H
mo682,SW,L,H
