"Plot Title: 1ol"
"#","Date Time, GMT-06:00","K-Type, °C (LGR S/N: 1283000, SEN S/N: 1283000)","Started (LGR S/N: 1283000)","Button Down (LGR S/N: 1283000)","Button Up (LGR S/N: 1283000)","End Of File (LGR S/N: 1283000)"
1,12/13/19 01:55:27 PM,34.01,Logged,,,
2,12/13/19 01:55:28 PM,32.68,,,,
3,12/13/19 01:55:29 PM,28.34,,,,
4,12/13/19 01:55:30 PM,25.65,,Logged,,
5,12/13/19 01:55:31 PM,24.98,,,Logged,
6,12/13/19 01:55:32 PM,25.32,,,,
7,12/13/19 01:55:33 PM,25.32,,,,
8,12/13/19 01:55:34 PM,25.65,,,,
9,12/13/19 01:55:35 PM,25.65,,,,
10,12/13/19 01:55:36 PM,25.32,,,,
11,12/13/19 01:55:37 PM,24.98,,,,
12,12/13/19 01:55:38 PM,31.68,,,,
13,12/13/19 01:55:39 PM,30.01,,,,
14,12/13/19 01:55:40 PM,31.68,,,,
15,12/13/19 01:55:41 PM,12.83,,,,
16,12/13/19 01:55:42 PM,12.49,,,,
17,12/13/19 01:55:43 PM,17.57,,,,
18,12/13/19 01:55:44 PM,21.96,,,,
19,12/13/19 01:55:45 PM,11.81,,,,
20,12/13/19 01:55:46 PM,11.14,,,,
21,12/13/19 01:55:47 PM,10.80,,,,
22,12/13/19 01:55:48 PM,11.14,,,,
23,12/13/19 01:55:49 PM,11.14,,,,
24,12/13/19 01:55:50 PM,11.14,,,,
25,12/13/19 01:55:51 PM,11.47,,,,
26,12/13/19 01:55:52 PM,11.47,,,,
27,12/13/19 01:55:53 PM,12.15,,,,
28,12/13/19 01:55:54 PM,14.19,,,,
29,12/13/19 01:55:55 PM,14.86,,,,
30,12/13/19 01:55:56 PM,17.57,,,,
31,12/13/19 01:55:57 PM,17.23,,,,
32,12/13/19 01:55:58 PM,16.90,,,,
33,12/13/19 01:55:59 PM,16.90,,,,
34,12/13/19 01:56:00 PM,16.90,,,,
35,12/13/19 01:56:01 PM,17.23,,,,
36,12/13/19 01:56:02 PM,17.23,,,,
37,12/13/19 01:56:03 PM,17.23,,,,
38,12/13/19 01:56:04 PM,17.57,,,,
39,12/13/19 01:56:05 PM,17.57,,,,
40,12/13/19 01:56:06 PM,17.91,,,,
41,12/13/19 01:56:07 PM,17.91,,,,
42,12/13/19 01:56:08 PM,18.25,,,,
43,12/13/19 01:56:09 PM,18.25,,,,
44,12/13/19 01:56:10 PM,18.58,,,,
45,12/13/19 01:56:11 PM,18.58,,,,
46,12/13/19 01:56:12 PM,18.92,,,,
47,12/13/19 01:56:13 PM,18.92,,,,
48,12/13/19 01:56:14 PM,19.26,,,,
49,12/13/19 01:56:15 PM,19.26,,,,
50,12/13/19 01:56:16 PM,19.60,,,,
51,12/13/19 01:56:17 PM,19.60,,,,
52,12/13/19 01:56:18 PM,19.93,,,,
53,12/13/19 01:56:19 PM,19.93,,,,
54,12/13/19 01:56:20 PM,19.93,,,,
55,12/13/19 01:56:21 PM,20.27,,,,
56,12/13/19 01:56:22 PM,20.27,,,,
57,12/13/19 01:56:23 PM,20.61,,,,
58,12/13/19 01:56:24 PM,20.61,,,,
59,12/13/19 01:56:25 PM,20.95,,,,
60,12/13/19 01:56:26 PM,20.95,,,,
61,12/13/19 01:56:27 PM,21.28,,,,
62,12/13/19 01:56:28 PM,21.28,,,,
63,12/13/19 01:56:29 PM,21.28,,,,
64,12/13/19 01:56:30 PM,21.28,,,,
65,12/13/19 01:56:31 PM,21.62,,,,
66,12/13/19 01:56:32 PM,21.62,,,,
67,12/13/19 01:56:33 PM,21.62,,,,
68,12/13/19 01:56:34 PM,21.62,,,,
69,12/13/19 01:56:35 PM,21.96,,,,
70,12/13/19 01:56:36 PM,21.96,,,,
71,12/13/19 01:56:37 PM,21.96,,,,
72,12/13/19 01:56:38 PM,21.96,,,,
73,12/13/19 01:56:39 PM,22.29,,,,
74,12/13/19 01:56:40 PM,22.29,,,,
