"Plot Title: 20l"
"#","Date Time, GMT-06:00","K-Type, °C (LGR S/N: 1283006, SEN S/N: 1283006)","Started (LGR S/N: 1283006)","Button Down (LGR S/N: 1283006)","Button Up (LGR S/N: 1283006)","Bad Battery (LGR S/N: 1283006)","End Of File (LGR S/N: 1283006)"
1,12/13/19 12:13:35 PM,14.86,Logged,,,,
2,12/13/19 12:13:36 PM,14.86,,,,,
3,12/13/19 12:13:37 PM,14.86,,,,,
4,12/13/19 12:13:38 PM,15.20,,,,,
5,12/13/19 12:13:39 PM,15.20,,,,,
6,12/13/19 12:13:40 PM,15.20,,,,,
7,12/13/19 12:13:41 PM,15.54,,,,,
8,12/13/19 12:13:42 PM,15.54,,,,,
9,12/13/19 12:13:43 PM,15.54,,,,,
10,12/13/19 12:13:44 PM,15.54,,,,,
11,12/13/19 12:13:45 PM,15.88,,,,,
12,12/13/19 12:13:46 PM,15.88,,,,,
13,12/13/19 12:13:47 PM,15.88,,,,,
14,12/13/19 12:13:48 PM,15.88,,,,,
15,12/13/19 12:13:49 PM,15.88,,,,,
16,12/13/19 12:13:50 PM,15.88,,,,,
17,12/13/19 12:13:51 PM,15.88,,,,,
18,12/13/19 12:13:52 PM,16.22,,,,,
19,12/13/19 12:13:53 PM,16.22,,,,,
20,12/13/19 12:13:54 PM,16.22,,Logged,,,
21,12/13/19 12:13:55 PM,16.22,,,Logged,,
22,12/13/19 12:13:56 PM,16.22,,,,,
23,12/13/19 12:13:57 PM,16.22,,,,,
24,12/13/19 12:13:58 PM,16.56,,Logged,,,
25,12/13/19 12:13:59 PM,16.22,,,,,
26,12/13/19 12:14:00 PM,16.56,,,Logged,,
27,12/13/19 12:14:01 PM,16.56,,,,,
28,12/13/19 12:14:02 PM,16.56,,,,,
29,12/13/19 12:14:03 PM,16.56,,,,,
30,12/13/19 12:14:04 PM,16.22,,,,,
31,12/13/19 12:14:05 PM,16.22,,,,,
32,12/13/19 12:14:06 PM,16.22,,,,,
33,12/13/19 12:14:07 PM,16.22,,,,,
34,12/13/19 12:14:08 PM,16.22,,,,,
35,12/13/19 12:14:09 PM,16.22,,,,,
36,12/13/19 12:14:10 PM,16.56,,,,,
37,12/13/19 12:14:11 PM,16.22,,,,,
38,12/13/19 12:14:12 PM,16.22,,,,,
39,12/13/19 12:14:13 PM,16.22,,,,,
40,12/13/19 12:14:14 PM,16.22,,,,,
41,12/13/19 12:14:15 PM,16.22,,,,,
42,12/13/19 12:14:16 PM,16.22,,,,,
43,12/13/19 12:14:17 PM,15.88,,,,,
44,12/13/19 12:14:18 PM,16.22,,,,,
45,12/13/19 12:14:19 PM,16.22,,,,,
46,12/13/19 12:14:20 PM,16.22,,,,,
47,12/13/19 12:14:21 PM,15.88,,,,,
48,12/13/19 12:14:22 PM,15.88,,,,,
49,12/13/19 12:14:23 PM,15.88,,,,,
50,12/13/19 12:14:24 PM,15.88,,,,,
51,12/13/19 12:14:25 PM,16.22,,,,,
52,12/13/19 12:14:26 PM,15.88,,,,,
53,12/13/19 12:14:27 PM,15.88,,,,,
54,12/13/19 12:14:28 PM,15.88,,,,,
55,12/13/19 12:14:29 PM,15.20,,,,,
56,12/13/19 12:14:30 PM,15.54,,,,,
57,12/13/19 12:14:31 PM,15.54,,,,,
58,12/13/19 12:14:32 PM,15.54,,,,,
59,12/13/19 12:14:33 PM,15.54,,,,,
60,12/13/19 12:14:34 PM,15.54,,,,,
61,12/13/19 12:14:35 PM,15.54,,,,,
62,12/13/19 12:14:36 PM,15.54,,,,,
63,12/13/19 12:14:37 PM,15.54,,,,,
64,12/13/19 12:14:38 PM,15.54,,,,,
65,12/13/19 12:14:39 PM,15.54,,,,,
66,12/13/19 12:14:40 PM,15.20,,,,,
67,12/13/19 12:14:41 PM,15.88,,,,,
68,12/13/19 12:14:42 PM,15.54,,,,,
69,12/13/19 12:14:43 PM,15.20,,,,,
70,12/13/19 12:14:44 PM,15.20,,,,,
71,12/13/19 12:14:45 PM,15.54,,,,,
72,12/13/19 12:14:46 PM,15.20,,,,,
73,12/13/19 12:14:47 PM,15.20,,,,,
74,12/13/19 12:14:48 PM,15.20,,,,,
75,12/13/19 12:14:49 PM,15.20,,,,,
76,12/13/19 12:14:50 PM,15.20,,,,,
77,12/13/19 12:14:51 PM,15.20,,,,,
78,12/13/19 12:14:52 PM,15.20,,,,,
79,12/13/19 12:14:53 PM,15.20,,,,,
80,12/13/19 12:14:54 PM,15.20,,,,,
81,12/13/19 12:14:55 PM,15.20,,,,,
82,12/13/19 12:14:56 PM,15.20,,,,,
83,12/13/19 12:14:57 PM,15.54,,,,,
84,12/13/19 12:14:58 PM,14.86,,,,,
85,12/13/19 12:14:59 PM,14.86,,,,,
86,12/13/19 12:15:00 PM,14.86,,,,,
87,12/13/19 12:15:01 PM,14.86,,,,,
88,12/13/19 12:15:02 PM,14.86,,,,,
89,12/13/19 12:15:03 PM,14.53,,,,,
90,12/13/19 12:15:04 PM,14.19,,,,,
91,12/13/19 12:15:05 PM,14.19,,,,,
92,12/13/19 12:15:06 PM,14.19,,,,,
93,12/13/19 12:15:07 PM,14.19,,,,,
94,12/13/19 12:15:08 PM,14.19,,,,,
95,12/13/19 12:15:09 PM,13.85,,,,,
96,12/13/19 12:15:10 PM,13.85,,,,,
97,12/13/19 12:15:11 PM,13.85,,,,,
98,12/13/19 12:15:12 PM,13.85,,,,,
99,12/13/19 12:15:13 PM,13.51,,,,,
100,12/13/19 12:15:14 PM,13.51,,,,,
101,12/13/19 12:15:15 PM,13.85,,,,,
102,12/13/19 12:15:16 PM,13.85,,,,,
103,12/13/19 12:15:17 PM,14.19,,,,,
104,12/13/19 12:15:18 PM,14.19,,,,,
105,12/13/19 12:15:19 PM,14.19,,,,,
106,12/13/19 12:15:20 PM,13.85,,,,,
107,12/13/19 12:15:21 PM,13.85,,,,,
108,12/13/19 12:15:22 PM,13.85,,,,,
109,12/13/19 12:15:23 PM,14.19,,,,,
110,12/13/19 12:15:24 PM,14.19,,,,,
111,12/13/19 12:15:25 PM,14.19,,,,,
112,12/13/19 12:15:26 PM,14.19,,,,,
113,12/13/19 12:15:27 PM,13.85,,,,,
114,12/13/19 12:15:28 PM,13.85,,,,,
115,12/13/19 12:15:29 PM,13.85,,,,,
116,12/13/19 12:15:30 PM,13.85,,,,,
