"Plot Title: 20s"
"#","Date Time, GMT-06:00","K-Type, °C (LGR S/N: 1282987, SEN S/N: 1282987)","Started (LGR S/N: 1282987)","Button Down (LGR S/N: 1282987)","Button Up (LGR S/N: 1282987)","End Of File (LGR S/N: 1282987)"
1,12/13/19 12:13:44 PM,13.51,Logged,,,
2,12/13/19 12:13:45 PM,13.51,,Logged,,
3,12/13/19 12:13:46 PM,13.17,,,Logged,
4,12/13/19 12:13:47 PM,13.17,,,,
5,12/13/19 12:13:48 PM,13.17,,Logged,,
6,12/13/19 12:13:49 PM,13.17,,,,
7,12/13/19 12:13:50 PM,13.17,,,Logged,
8,12/13/19 12:13:51 PM,13.17,,,,
9,12/13/19 12:13:52 PM,13.17,,,,
10,12/13/19 12:13:53 PM,13.17,,,,
11,12/13/19 12:13:54 PM,12.83,,,,
12,12/13/19 12:13:55 PM,12.83,,,,
13,12/13/19 12:13:56 PM,12.83,,,,
14,12/13/19 12:13:57 PM,12.83,,,,
15,12/13/19 12:13:58 PM,12.83,,,,
16,12/13/19 12:13:59 PM,12.83,,,,
17,12/13/19 12:14:00 PM,12.83,,,,
18,12/13/19 12:14:01 PM,12.83,,,,
19,12/13/19 12:14:02 PM,12.83,,,,
20,12/13/19 12:14:03 PM,12.83,,,,
21,12/13/19 12:14:04 PM,12.83,,,,
22,12/13/19 12:14:05 PM,12.83,,,,
23,12/13/19 12:14:06 PM,12.83,,,,
24,12/13/19 12:14:07 PM,12.83,,,,
25,12/13/19 12:14:08 PM,13.17,,,,
26,12/13/19 12:14:09 PM,12.83,,,,
27,12/13/19 12:14:10 PM,12.83,,,,
28,12/13/19 12:14:11 PM,13.17,,,,
29,12/13/19 12:14:12 PM,13.17,,,,
30,12/13/19 12:14:13 PM,12.83,,,,
31,12/13/19 12:14:14 PM,13.17,,,,
32,12/13/19 12:14:15 PM,13.17,,,,
33,12/13/19 12:14:16 PM,13.17,,,,
34,12/13/19 12:14:17 PM,13.17,,,,
35,12/13/19 12:14:18 PM,12.83,,,,
36,12/13/19 12:14:19 PM,13.17,,,,
37,12/13/19 12:14:20 PM,13.17,,,,
38,12/13/19 12:14:21 PM,13.17,,,,
39,12/13/19 12:14:22 PM,13.17,,,,
40,12/13/19 12:14:23 PM,13.17,,,,
41,12/13/19 12:14:24 PM,12.49,,,,
42,12/13/19 12:14:25 PM,12.49,,,,
43,12/13/19 12:14:26 PM,12.49,,,,
44,12/13/19 12:14:27 PM,12.49,,,,
45,12/13/19 12:14:28 PM,12.49,,,,
46,12/13/19 12:14:29 PM,12.83,,,,
47,12/13/19 12:14:30 PM,12.49,,,,
48,12/13/19 12:14:31 PM,12.49,,,,
49,12/13/19 12:14:32 PM,12.15,,,,
50,12/13/19 12:14:33 PM,12.49,,,,
51,12/13/19 12:14:34 PM,12.15,,,,
52,12/13/19 12:14:35 PM,12.49,,,,
53,12/13/19 12:14:36 PM,12.49,,,,
54,12/13/19 12:14:37 PM,11.81,,,,
55,12/13/19 12:14:38 PM,11.14,,,,
56,12/13/19 12:14:39 PM,11.14,,,,
57,12/13/19 12:14:40 PM,11.47,,,,
58,12/13/19 12:14:41 PM,11.81,,,,
59,12/13/19 12:14:42 PM,11.81,,,,
60,12/13/19 12:14:43 PM,11.81,,,,
61,12/13/19 12:14:44 PM,11.81,,,,
62,12/13/19 12:14:45 PM,11.14,,,,
63,12/13/19 12:14:46 PM,11.81,,,,
64,12/13/19 12:14:47 PM,12.15,,,,
65,12/13/19 12:14:48 PM,12.49,,,,
66,12/13/19 12:14:49 PM,12.49,,,,
67,12/13/19 12:14:50 PM,12.49,,,,
68,12/13/19 12:14:51 PM,8.42,,,,
69,12/13/19 12:14:52 PM,8.08,,,,
70,12/13/19 12:14:53 PM,8.42,,,,
71,12/13/19 12:14:54 PM,9.44,,,,
72,12/13/19 12:14:55 PM,9.44,,,,
73,12/13/19 12:14:56 PM,9.44,,,,
74,12/13/19 12:14:57 PM,9.78,,,,
75,12/13/19 12:14:58 PM,9.78,,,,
76,12/13/19 12:14:59 PM,9.78,,,,
77,12/13/19 12:15:00 PM,9.78,,,,
78,12/13/19 12:15:01 PM,9.78,,,,
79,12/13/19 12:15:02 PM,9.78,,,,
80,12/13/19 12:15:03 PM,9.78,,,,
81,12/13/19 12:15:04 PM,9.78,,,,
82,12/13/19 12:15:05 PM,9.78,,,,
83,12/13/19 12:15:06 PM,9.78,,,,
84,12/13/19 12:15:07 PM,9.78,,,,
85,12/13/19 12:15:08 PM,9.78,,,,
86,12/13/19 12:15:09 PM,9.78,,,,
87,12/13/19 12:15:10 PM,9.78,,,,
88,12/13/19 12:15:11 PM,9.78,,,,
89,12/13/19 12:15:12 PM,9.78,,,,
90,12/13/19 12:15:13 PM,9.78,,,,
91,12/13/19 12:15:14 PM,9.78,,,,
92,12/13/19 12:15:15 PM,9.78,,,,
93,12/13/19 12:15:16 PM,9.78,,,,
94,12/13/19 12:15:17 PM,9.78,,,,
95,12/13/19 12:15:18 PM,9.78,,,,
96,12/13/19 12:15:19 PM,9.78,,,,
97,12/13/19 12:15:20 PM,9.78,,,,
98,12/13/19 12:15:21 PM,9.78,,,,
99,12/13/19 12:15:22 PM,9.78,,,,
100,12/13/19 12:15:23 PM,9.78,,,,
101,12/13/19 12:15:24 PM,9.78,,,,
102,12/13/19 12:15:25 PM,9.78,,,,
103,12/13/19 12:15:26 PM,9.78,,,,
104,12/13/19 12:15:27 PM,9.44,,,,
105,12/13/19 12:15:28 PM,9.44,,,,
106,12/13/19 12:15:29 PM,9.44,,,,
107,12/13/19 12:15:30 PM,9.44,,,,
108,12/13/19 12:15:31 PM,9.44,,,,
109,12/13/19 12:15:32 PM,9.44,,,,
110,12/13/19 12:15:33 PM,9.44,,,,
111,12/13/19 12:15:34 PM,9.44,,,,
112,12/13/19 12:15:35 PM,9.44,,,,
113,12/13/19 12:15:36 PM,9.44,,,,
114,12/13/19 12:15:37 PM,9.44,,,,
115,12/13/19 12:15:38 PM,9.44,,,,
116,12/13/19 12:15:39 PM,9.44,,,,
117,12/13/19 12:15:40 PM,9.44,,,,
118,12/13/19 12:15:41 PM,9.44,,,,
119,12/13/19 12:15:42 PM,9.44,,,,
120,12/13/19 12:15:43 PM,9.44,,,,
121,12/13/19 12:15:44 PM,9.44,,,,
122,12/13/19 12:15:45 PM,9.44,,,,
123,12/13/19 12:15:46 PM,9.44,,,,
124,12/13/19 12:15:47 PM,9.44,,,,
125,12/13/19 12:15:48 PM,9.44,,,,
126,12/13/19 12:15:49 PM,9.44,,,,
127,12/13/19 12:15:50 PM,9.44,,,,
128,12/13/19 12:15:51 PM,9.44,,,,
129,12/13/19 12:15:52 PM,9.44,,,,
130,12/13/19 12:15:53 PM,9.44,,,,
131,12/13/19 12:15:54 PM,9.44,,,,
132,12/13/19 12:15:55 PM,9.44,,,,
133,12/13/19 12:15:56 PM,9.44,,,,
134,12/13/19 12:15:57 PM,9.44,,,,
135,12/13/19 12:15:58 PM,9.44,,,,
136,12/13/19 12:15:59 PM,9.44,,,,
137,12/13/19 12:16:00 PM,9.44,,,,
138,12/13/19 12:16:01 PM,9.44,,,,
139,12/13/19 12:16:02 PM,9.44,,,,
140,12/13/19 12:16:03 PM,9.44,,,,
141,12/13/19 12:16:04 PM,9.44,,,,
142,12/13/19 12:16:05 PM,9.44,,,,
143,12/13/19 12:16:06 PM,9.44,,,,
144,12/13/19 12:16:07 PM,9.44,,,,
145,12/13/19 12:16:08 PM,9.44,,,,
146,12/13/19 12:16:09 PM,9.44,,,,
147,12/13/19 12:16:10 PM,9.44,,,,
148,12/13/19 12:16:11 PM,9.44,,,,
149,12/13/19 12:16:12 PM,9.44,,,,
150,12/13/19 12:16:13 PM,9.44,,,,
151,12/13/19 12:16:14 PM,9.44,,,,
152,12/13/19 12:16:15 PM,9.44,,,,
153,12/13/19 12:16:16 PM,9.44,,,,
154,12/13/19 12:16:17 PM,9.44,,,,
155,12/13/19 12:16:18 PM,9.44,,,,
156,12/13/19 12:16:19 PM,9.44,,,,
157,12/13/19 12:16:20 PM,9.44,,,,
158,12/13/19 12:16:21 PM,9.44,,,,
159,12/13/19 12:16:22 PM,9.44,,,,
160,12/13/19 12:16:23 PM,9.44,,,,
161,12/13/19 12:16:24 PM,9.44,,,,
162,12/13/19 12:16:25 PM,9.44,,,,
163,12/13/19 12:16:26 PM,9.44,,,,
164,12/13/19 12:16:27 PM,9.44,,,,
165,12/13/19 12:16:28 PM,9.44,,,,
166,12/13/19 12:16:29 PM,9.44,,,,
167,12/13/19 12:16:30 PM,9.44,,,,
168,12/13/19 12:16:31 PM,9.44,,,,
169,12/13/19 12:16:32 PM,9.44,,,,
170,12/13/19 12:16:33 PM,9.44,,,,
171,12/13/19 12:16:34 PM,9.44,,,,
172,12/13/19 12:16:35 PM,9.44,,,,
173,12/13/19 12:16:36 PM,9.44,,,,
174,12/13/19 12:16:37 PM,9.44,,,,
175,12/13/19 12:16:38 PM,9.44,,,,
176,12/13/19 12:16:39 PM,9.44,,,,
177,12/13/19 12:16:40 PM,9.44,,,,
178,12/13/19 12:16:41 PM,9.44,,,,
179,12/13/19 12:16:42 PM,9.44,,,,
180,12/13/19 12:16:43 PM,9.44,,,,
181,12/13/19 12:16:44 PM,9.78,,,,
182,12/13/19 12:16:45 PM,9.44,,,,
183,12/13/19 12:16:46 PM,9.78,,,,
184,12/13/19 12:16:47 PM,9.78,,,,
185,12/13/19 12:16:48 PM,9.78,,,,
186,12/13/19 12:16:49 PM,9.78,,,,
187,12/13/19 12:16:50 PM,9.78,,,,
188,12/13/19 12:16:51 PM,9.78,,,,
189,12/13/19 12:16:52 PM,9.78,,,,
190,12/13/19 12:16:53 PM,9.78,,,,
191,12/13/19 12:16:54 PM,9.78,,,,
192,12/13/19 12:16:55 PM,9.78,,,,
193,12/13/19 12:16:56 PM,9.78,,,,
194,12/13/19 12:16:57 PM,9.78,,,,
195,12/13/19 12:16:58 PM,9.78,,,,
196,12/13/19 12:16:59 PM,9.78,,,,
197,12/13/19 12:17:00 PM,9.78,,,,
198,12/13/19 12:17:01 PM,9.78,,,,
199,12/13/19 12:17:02 PM,9.78,,,,
200,12/13/19 12:17:03 PM,9.78,,,,
201,12/13/19 12:17:04 PM,9.78,,,,
202,12/13/19 12:17:05 PM,9.78,,,,
203,12/13/19 12:17:06 PM,9.78,,,,
204,12/13/19 12:17:07 PM,9.78,,,,
205,12/13/19 12:17:08 PM,9.78,,,,
206,12/13/19 12:17:09 PM,9.78,,,,
207,12/13/19 12:17:10 PM,9.78,,,,
208,12/13/19 12:17:11 PM,9.78,,,,
209,12/13/19 12:17:12 PM,9.78,,,,
210,12/13/19 12:17:13 PM,9.78,,,,
211,12/13/19 12:17:14 PM,9.78,,,,
212,12/13/19 12:17:15 PM,9.78,,,,
213,12/13/19 12:17:16 PM,9.78,,,,
214,12/13/19 12:17:17 PM,9.78,,,,
215,12/13/19 12:17:18 PM,9.78,,,,
216,12/13/19 12:17:19 PM,9.78,,,,
217,12/13/19 12:17:20 PM,9.78,,,,
218,12/13/19 12:17:21 PM,9.78,,,,
219,12/13/19 12:17:22 PM,9.78,,,,
220,12/13/19 12:17:23 PM,9.78,,,,
221,12/13/19 12:17:24 PM,9.78,,,,
222,12/13/19 12:17:25 PM,9.78,,,,
223,12/13/19 12:17:26 PM,9.78,,,,
224,12/13/19 12:17:27 PM,9.78,,,,
225,12/13/19 12:17:28 PM,9.78,,,,
226,12/13/19 12:17:29 PM,9.78,,,,
227,12/13/19 12:17:30 PM,9.78,,,,
228,12/13/19 12:17:31 PM,9.78,,,,
229,12/13/19 12:17:32 PM,9.78,,,,
230,12/13/19 12:17:33 PM,9.78,,,,
231,12/13/19 12:17:34 PM,9.78,,,,
232,12/13/19 12:17:35 PM,9.78,,,,
233,12/13/19 12:17:36 PM,9.78,,,,
234,12/13/19 12:17:37 PM,9.78,,,,
235,12/13/19 12:17:38 PM,9.78,,,,
236,12/13/19 12:17:39 PM,9.78,,,,
237,12/13/19 12:17:40 PM,9.78,,,,
238,12/13/19 12:17:41 PM,9.78,,,,
239,12/13/19 12:17:42 PM,9.78,,,,
240,12/13/19 12:17:43 PM,9.78,,,,
241,12/13/19 12:17:44 PM,9.78,,,,
242,12/13/19 12:17:45 PM,9.78,,,,
243,12/13/19 12:17:46 PM,9.78,,,,
244,12/13/19 12:17:47 PM,9.78,,,,
245,12/13/19 12:17:48 PM,9.78,,,,
246,12/13/19 12:17:49 PM,9.78,,,,
247,12/13/19 12:17:50 PM,9.78,,,,
248,12/13/19 12:17:51 PM,9.78,,,,
249,12/13/19 12:17:52 PM,9.78,,,,
250,12/13/19 12:17:53 PM,9.78,,,,
251,12/13/19 12:17:54 PM,9.78,,,,
252,12/13/19 12:17:55 PM,9.78,,,,
253,12/13/19 12:17:56 PM,9.78,,,,
254,12/13/19 12:17:57 PM,9.78,,,,
255,12/13/19 12:17:58 PM,9.78,,,,
256,12/13/19 12:17:59 PM,9.78,,,,
257,12/13/19 12:18:00 PM,9.78,,,,
258,12/13/19 12:18:01 PM,9.78,,,,
259,12/13/19 12:18:02 PM,9.78,,,,
260,12/13/19 12:18:03 PM,9.78,,,,
261,12/13/19 12:18:04 PM,9.78,,,,
262,12/13/19 12:18:05 PM,9.78,,,,
263,12/13/19 12:18:06 PM,9.78,,,,
264,12/13/19 12:18:07 PM,9.78,,,,
265,12/13/19 12:18:08 PM,9.78,,,,
266,12/13/19 12:18:09 PM,9.78,,,,
267,12/13/19 12:18:10 PM,9.78,,,,
268,12/13/19 12:18:11 PM,9.78,,,,
269,12/13/19 12:18:12 PM,9.78,,,,
270,12/13/19 12:18:13 PM,9.78,,,,
271,12/13/19 12:18:14 PM,9.78,,,,
272,12/13/19 12:18:15 PM,9.78,,,,
273,12/13/19 12:18:16 PM,9.78,,,,
274,12/13/19 12:18:17 PM,9.78,,,,
275,12/13/19 12:18:18 PM,9.78,,,,
276,12/13/19 12:18:19 PM,9.78,,,,
277,12/13/19 12:18:20 PM,9.78,,,,
278,12/13/19 12:18:21 PM,9.78,,,,
279,12/13/19 12:18:22 PM,10.12,,,,
280,12/13/19 12:18:23 PM,9.78,,,,
281,12/13/19 12:18:24 PM,9.78,,,,
282,12/13/19 12:18:25 PM,9.78,,,,
283,12/13/19 12:18:26 PM,9.78,,,,
284,12/13/19 12:18:27 PM,9.78,,,,
285,12/13/19 12:18:28 PM,9.78,,,,
286,12/13/19 12:18:29 PM,9.78,,,,
287,12/13/19 12:18:30 PM,9.78,,,,
288,12/13/19 12:18:31 PM,9.78,,,,
289,12/13/19 12:18:32 PM,9.78,,,,
290,12/13/19 12:18:33 PM,9.78,,,,
291,12/13/19 12:18:34 PM,9.78,,,,
292,12/13/19 12:18:35 PM,9.78,,,,
293,12/13/19 12:18:36 PM,9.78,,,,
294,12/13/19 12:18:37 PM,9.78,,,,
295,12/13/19 12:18:38 PM,9.78,,,,
296,12/13/19 12:18:39 PM,9.78,,,,
297,12/13/19 12:18:40 PM,9.78,,,,
298,12/13/19 12:18:41 PM,9.78,,,,
299,12/13/19 12:18:42 PM,9.78,,,,
300,12/13/19 12:18:43 PM,9.78,,,,
301,12/13/19 12:18:44 PM,9.78,,,,
302,12/13/19 12:18:45 PM,9.78,,,,
303,12/13/19 12:18:46 PM,9.78,,,,
304,12/13/19 12:18:47 PM,9.78,,,,
305,12/13/19 12:18:48 PM,9.78,,,,
306,12/13/19 12:18:49 PM,9.78,,,,
307,12/13/19 12:18:50 PM,9.78,,,,
308,12/13/19 12:18:51 PM,9.78,,,,
309,12/13/19 12:18:52 PM,9.78,,,,
310,12/13/19 12:18:53 PM,9.78,,,,
311,12/13/19 12:18:54 PM,10.12,,,,
312,12/13/19 12:18:55 PM,9.78,,,,
313,12/13/19 12:18:56 PM,9.78,,,,
314,12/13/19 12:18:57 PM,9.78,,,,
315,12/13/19 12:18:58 PM,10.12,,,,
316,12/13/19 12:18:59 PM,10.12,,,,
317,12/13/19 12:19:00 PM,9.78,,,,
318,12/13/19 12:19:01 PM,9.78,,,,
319,12/13/19 12:19:02 PM,9.78,,,,
320,12/13/19 12:19:03 PM,10.12,,,,
321,12/13/19 12:19:04 PM,9.78,,,,
322,12/13/19 12:19:05 PM,9.78,,,,
323,12/13/19 12:19:06 PM,10.12,,,,
324,12/13/19 12:19:07 PM,10.12,,,,
325,12/13/19 12:19:08 PM,10.12,,,,
326,12/13/19 12:19:09 PM,10.12,,,,
327,12/13/19 12:19:10 PM,9.78,,,,
328,12/13/19 12:19:11 PM,9.78,,,,
329,12/13/19 12:19:12 PM,10.12,,,,
330,12/13/19 12:19:13 PM,10.12,,,,
331,12/13/19 12:19:14 PM,10.12,,,,
332,12/13/19 12:19:15 PM,10.12,,,,
333,12/13/19 12:19:16 PM,9.78,,,,
334,12/13/19 12:19:17 PM,9.78,,,,
335,12/13/19 12:19:18 PM,10.12,,,,
336,12/13/19 12:19:19 PM,10.12,,,,
337,12/13/19 12:19:20 PM,10.12,,,,
338,12/13/19 12:19:21 PM,10.12,,,,
339,12/13/19 12:19:22 PM,10.12,,,,
340,12/13/19 12:19:23 PM,10.12,,,,
341,12/13/19 12:19:24 PM,10.12,,,,
342,12/13/19 12:19:25 PM,10.12,,,,
343,12/13/19 12:19:26 PM,10.12,,,,
344,12/13/19 12:19:27 PM,10.12,,,,
345,12/13/19 12:19:28 PM,10.12,,,,
346,12/13/19 12:19:29 PM,10.12,,,,
347,12/13/19 12:19:30 PM,10.12,,,,
348,12/13/19 12:19:31 PM,10.12,,,,
349,12/13/19 12:19:32 PM,10.12,,,,
350,12/13/19 12:19:33 PM,10.12,,,,
351,12/13/19 12:19:34 PM,10.12,,,,
352,12/13/19 12:19:35 PM,10.12,,,,
353,12/13/19 12:19:36 PM,10.12,,,,
354,12/13/19 12:19:37 PM,10.12,,,,
355,12/13/19 12:19:38 PM,10.12,,,,
356,12/13/19 12:19:39 PM,10.12,,,,
357,12/13/19 12:19:40 PM,10.12,,,,
358,12/13/19 12:19:41 PM,10.12,,,,
359,12/13/19 12:19:42 PM,10.12,,,,
360,12/13/19 12:19:43 PM,10.12,,,,
361,12/13/19 12:19:44 PM,10.12,,,,
362,12/13/19 12:19:45 PM,10.12,,,,
