"Plot Title: 27s"
"#","Date Time, GMT-06:00","K-Type, °C (LGR S/N: 2247368, SEN S/N: 2247368)","Started (LGR S/N: 2247368)","End Of File (LGR S/N: 2247368)"
1,12/13/19 11:05:50 AM,11.47,Logged,
2,12/13/19 11:05:51 AM,11.47,,
3,12/13/19 11:05:52 AM,11.47,,
4,12/13/19 11:05:53 AM,11.47,,
5,12/13/19 11:05:54 AM,11.47,,
6,12/13/19 11:05:55 AM,11.47,,
7,12/13/19 11:05:56 AM,11.47,,
8,12/13/19 11:05:57 AM,11.47,,
9,12/13/19 11:05:58 AM,11.47,,
10,12/13/19 11:05:59 AM,11.47,,
11,12/13/19 11:06:00 AM,11.47,,
12,12/13/19 11:06:01 AM,11.47,,
13,12/13/19 11:06:02 AM,11.47,,
14,12/13/19 11:06:03 AM,11.47,,
15,12/13/19 11:06:04 AM,11.14,,
16,12/13/19 11:06:05 AM,11.14,,
17,12/13/19 11:06:06 AM,11.14,,
18,12/13/19 11:06:07 AM,11.14,,
19,12/13/19 11:06:08 AM,11.47,,
20,12/13/19 11:06:09 AM,11.47,,
21,12/13/19 11:06:10 AM,11.14,,
22,12/13/19 11:06:11 AM,11.47,,
23,12/13/19 11:06:12 AM,11.14,,
24,12/13/19 11:06:13 AM,11.47,,
25,12/13/19 11:06:14 AM,11.14,,
26,12/13/19 11:06:15 AM,11.14,,
27,12/13/19 11:06:16 AM,11.47,,
28,12/13/19 11:06:17 AM,11.47,,
29,12/13/19 11:06:18 AM,11.47,,
30,12/13/19 11:06:19 AM,11.47,,
31,12/13/19 11:06:20 AM,11.47,,
32,12/13/19 11:06:21 AM,11.47,,
33,12/13/19 11:06:22 AM,11.47,,
34,12/13/19 11:06:23 AM,11.14,,
35,12/13/19 11:06:24 AM,11.47,,
36,12/13/19 11:06:25 AM,11.14,,
37,12/13/19 11:06:26 AM,11.14,,
38,12/13/19 11:06:27 AM,11.47,,
39,12/13/19 11:06:28 AM,11.14,,
40,12/13/19 11:06:29 AM,11.14,,
41,12/13/19 11:06:30 AM,11.14,,
42,12/13/19 11:06:31 AM,11.14,,
43,12/13/19 11:06:32 AM,11.14,,
44,12/13/19 11:06:33 AM,11.14,,
45,12/13/19 11:06:34 AM,11.14,,
46,12/13/19 11:06:35 AM,11.14,,
47,12/13/19 11:06:36 AM,11.14,,
48,12/13/19 11:06:37 AM,11.14,,
49,12/13/19 11:06:38 AM,11.14,,
50,12/13/19 11:06:39 AM,11.14,,
51,12/13/19 11:06:40 AM,11.14,,
52,12/13/19 11:06:41 AM,11.14,,
53,12/13/19 11:06:42 AM,11.14,,
54,12/13/19 11:06:43 AM,11.14,,
55,12/13/19 11:06:44 AM,11.14,,
56,12/13/19 11:06:45 AM,11.14,,
57,12/13/19 11:06:46 AM,11.14,,
58,12/13/19 11:06:47 AM,11.14,,
59,12/13/19 11:06:48 AM,10.80,,
60,12/13/19 11:06:49 AM,10.80,,
61,12/13/19 11:06:50 AM,10.80,,
62,12/13/19 11:06:51 AM,10.80,,
63,12/13/19 11:06:52 AM,10.80,,
64,12/13/19 11:06:53 AM,10.80,,
65,12/13/19 11:06:54 AM,10.80,,
66,12/13/19 11:06:55 AM,10.80,,
67,12/13/19 11:06:56 AM,10.80,,
68,12/13/19 11:06:57 AM,10.80,,
69,12/13/19 11:06:58 AM,10.80,,
70,12/13/19 11:06:59 AM,10.80,,
71,12/13/19 11:07:00 AM,10.80,,
72,12/13/19 11:07:01 AM,10.80,,
73,12/13/19 11:07:02 AM,10.80,,
74,12/13/19 11:07:03 AM,10.80,,
75,12/13/19 11:07:04 AM,10.80,,
76,12/13/19 11:07:05 AM,10.80,,
77,12/13/19 11:07:06 AM,10.80,,
78,12/13/19 11:07:07 AM,10.80,,
79,12/13/19 11:07:08 AM,10.80,,
80,12/13/19 11:07:09 AM,10.80,,
81,12/13/19 11:07:10 AM,10.80,,
82,12/13/19 11:07:11 AM,10.80,,
83,12/13/19 11:07:12 AM,10.80,,
84,12/13/19 11:07:13 AM,10.80,,
85,12/13/19 11:07:14 AM,10.80,,
86,12/13/19 11:07:15 AM,10.80,,
87,12/13/19 11:07:16 AM,10.80,,
88,12/13/19 11:07:17 AM,10.80,,
89,12/13/19 11:07:18 AM,10.80,,
90,12/13/19 11:07:19 AM,10.80,,
91,12/13/19 11:07:20 AM,10.46,,
92,12/13/19 11:07:21 AM,10.12,,
93,12/13/19 11:07:22 AM,10.12,,
94,12/13/19 11:07:23 AM,10.12,,
95,12/13/19 11:07:24 AM,10.12,,
96,12/13/19 11:07:25 AM,11.47,,
97,12/13/19 11:07:26 AM,10.80,,
98,12/13/19 11:07:27 AM,10.12,,
99,12/13/19 11:07:28 AM,10.12,,
100,12/13/19 11:07:29 AM,8.42,,
101,12/13/19 11:07:30 AM,8.76,,
102,12/13/19 11:07:31 AM,8.76,,
103,12/13/19 11:07:32 AM,7.06,,
104,12/13/19 11:07:33 AM,7.06,,
105,12/13/19 11:07:34 AM,7.74,,
106,12/13/19 11:07:35 AM,8.08,,
107,12/13/19 11:07:36 AM,8.42,,
108,12/13/19 11:07:37 AM,8.42,,
109,12/13/19 11:07:38 AM,8.42,,
110,12/13/19 11:07:39 AM,8.42,,
111,12/13/19 11:07:40 AM,8.42,,
112,12/13/19 11:07:41 AM,8.76,,
113,12/13/19 11:07:42 AM,8.76,,
114,12/13/19 11:07:43 AM,8.76,,
115,12/13/19 11:07:44 AM,8.76,,
116,12/13/19 11:07:45 AM,8.76,,
117,12/13/19 11:07:46 AM,8.42,,
118,12/13/19 11:07:47 AM,8.08,,
119,12/13/19 11:07:48 AM,8.42,,
120,12/13/19 11:07:49 AM,8.08,,
121,12/13/19 11:07:50 AM,8.08,,
122,12/13/19 11:07:51 AM,8.08,,
123,12/13/19 11:07:52 AM,8.08,,
124,12/13/19 11:07:53 AM,8.42,,
125,12/13/19 11:07:54 AM,8.08,,
126,12/13/19 11:07:55 AM,8.42,,
127,12/13/19 11:07:56 AM,8.08,,
128,12/13/19 11:07:57 AM,7.74,,
129,12/13/19 11:07:58 AM,7.06,,
130,12/13/19 11:07:59 AM,7.40,,
131,12/13/19 11:08:00 AM,7.40,,
132,12/13/19 11:08:01 AM,7.40,,
133,12/13/19 11:08:02 AM,7.06,,
134,12/13/19 11:08:03 AM,7.40,,
135,12/13/19 11:08:04 AM,7.40,,
136,12/13/19 11:08:05 AM,7.40,,
137,12/13/19 11:08:06 AM,7.40,,
138,12/13/19 11:08:07 AM,7.40,,
139,12/13/19 11:08:08 AM,7.40,,
140,12/13/19 11:08:09 AM,7.40,,
141,12/13/19 11:08:10 AM,7.40,,
142,12/13/19 11:08:11 AM,7.40,,
143,12/13/19 11:08:12 AM,7.40,,
144,12/13/19 11:08:13 AM,7.40,,
