"Plot Title: 30l"
"#","Date Time, GMT-06:00","K-Type, °C (LGR S/N: 2247375, SEN S/N: 2247375)","Started (LGR S/N: 2247375)","Bad Battery (LGR S/N: 2247375)","End Of File (LGR S/N: 2247375)"
1,12/13/19 02:04:22 PM,46.26,Logged,,
2,12/13/19 02:04:23 PM,28.34,,,
3,12/13/19 02:04:24 PM,20.27,,,
4,12/13/19 02:04:25 PM,14.86,,,
5,12/13/19 02:04:26 PM,8.42,,,
6,12/13/19 02:04:27 PM,14.53,,,
7,12/13/19 02:04:28 PM,11.47,,,
8,12/13/19 02:04:29 PM,13.51,,,
9,12/13/19 02:04:30 PM,16.56,,,
10,12/13/19 02:04:31 PM,13.17,,,
11,12/13/19 02:04:32 PM,13.17,,,
12,12/13/19 02:04:33 PM,13.85,,,
13,12/13/19 02:04:34 PM,14.19,,,
14,12/13/19 02:04:35 PM,14.19,,,
15,12/13/19 02:04:36 PM,13.85,,,
16,12/13/19 02:04:37 PM,14.19,,,
17,12/13/19 02:04:38 PM,14.19,,,
18,12/13/19 02:04:39 PM,14.19,,,
19,12/13/19 02:04:40 PM,14.19,,,
20,12/13/19 02:04:41 PM,14.19,,,
21,12/13/19 02:04:42 PM,14.53,,,
22,12/13/19 02:04:43 PM,14.53,,,
23,12/13/19 02:04:44 PM,14.53,,,
24,12/13/19 02:04:45 PM,14.86,,,
25,12/13/19 02:04:46 PM,14.53,,,
26,12/13/19 02:04:47 PM,14.53,,,
27,12/13/19 02:04:48 PM,14.86,,,
28,12/13/19 02:04:49 PM,15.20,,,
29,12/13/19 02:04:50 PM,14.86,,,
30,12/13/19 02:04:51 PM,14.86,,,
31,12/13/19 02:04:52 PM,14.53,,,
32,12/13/19 02:04:53 PM,14.53,,,
33,12/13/19 02:04:54 PM,15.20,,,
34,12/13/19 02:04:55 PM,15.20,,,
35,12/13/19 02:04:56 PM,14.86,,,
36,12/13/19 02:04:57 PM,14.86,,,
37,12/13/19 02:04:58 PM,14.86,,,
38,12/13/19 02:04:59 PM,14.86,,,
39,12/13/19 02:05:00 PM,14.86,,,
40,12/13/19 02:05:01 PM,15.20,,,
41,12/13/19 02:05:02 PM,15.20,,,
42,12/13/19 02:05:03 PM,15.20,,,
43,12/13/19 02:05:04 PM,15.20,,,
44,12/13/19 02:05:05 PM,15.20,,,
45,12/13/19 02:05:06 PM,15.20,,,
46,12/13/19 02:05:07 PM,15.20,,,
47,12/13/19 02:05:08 PM,15.20,,,
48,12/13/19 02:05:09 PM,14.86,,,
49,12/13/19 02:05:10 PM,14.86,,,
50,12/13/19 02:05:11 PM,14.86,,,
51,12/13/19 02:05:12 PM,14.86,,,
52,12/13/19 02:05:13 PM,14.86,,,
53,12/13/19 02:05:14 PM,14.86,,,
54,12/13/19 02:05:15 PM,14.86,,,
55,12/13/19 02:05:16 PM,14.86,,,
56,12/13/19 02:05:17 PM,14.53,,,
57,12/13/19 02:05:18 PM,14.86,,,
58,12/13/19 02:05:19 PM,14.53,,,
59,12/13/19 02:05:20 PM,14.19,,,
60,12/13/19 02:05:21 PM,14.19,,,
61,12/13/19 02:05:22 PM,14.19,,,
62,12/13/19 02:05:23 PM,14.19,,,
63,12/13/19 02:05:24 PM,14.19,,,
64,12/13/19 02:05:25 PM,13.85,,,
65,12/13/19 02:05:26 PM,14.19,,,
66,12/13/19 02:05:27 PM,14.19,,,
67,12/13/19 02:05:28 PM,14.53,,,
68,12/13/19 02:05:29 PM,14.19,,,
69,12/13/19 02:05:30 PM,14.19,,,
70,12/13/19 02:05:31 PM,14.19,,,
71,12/13/19 02:05:32 PM,14.19,,,
72,12/13/19 02:05:33 PM,14.19,,,
73,12/13/19 02:05:34 PM,14.19,,,
74,12/13/19 02:05:35 PM,14.19,,,
75,12/13/19 02:05:36 PM,14.19,,,
76,12/13/19 02:05:37 PM,13.85,,,
77,12/13/19 02:05:38 PM,14.19,,,
78,12/13/19 02:05:39 PM,14.19,,,
79,12/13/19 02:05:40 PM,14.53,,,
80,12/13/19 02:05:41 PM,14.19,,,
81,12/13/19 02:05:42 PM,14.19,,,
82,12/13/19 02:05:43 PM,14.19,,,
83,12/13/19 02:05:44 PM,14.19,,,
84,12/13/19 02:05:45 PM,14.53,,,
85,12/13/19 02:05:46 PM,14.53,,,
86,12/13/19 02:05:47 PM,14.53,,,
87,12/13/19 02:05:48 PM,14.53,,,
88,12/13/19 02:05:49 PM,14.53,,,
89,12/13/19 02:05:50 PM,14.53,,,
90,12/13/19 02:05:51 PM,14.53,,,
91,12/13/19 02:05:52 PM,14.53,,,
92,12/13/19 02:05:53 PM,14.53,,,
93,12/13/19 02:05:54 PM,14.53,,,
94,12/13/19 02:05:55 PM,14.53,,,
95,12/13/19 02:05:56 PM,15.20,,,
96,12/13/19 02:05:57 PM,15.20,,,
97,12/13/19 02:05:58 PM,14.86,,,
98,12/13/19 02:05:59 PM,14.86,,,
99,12/13/19 02:06:00 PM,14.86,,,
