"Plot Title: 31s"
"#","Date Time, GMT-06:00","K-Type, °C (LGR S/N: 2247376, SEN S/N: 2247376)","Started (LGR S/N: 2247376)","Button Down (LGR S/N: 2247376)","Button Up (LGR S/N: 2247376)","End Of File (LGR S/N: 2247376)"
1,12/13/19 12:26:04 PM,16.22,Logged,,,
2,12/13/19 12:26:05 PM,16.22,,,,
3,12/13/19 12:26:06 PM,16.22,,,,
4,12/13/19 12:26:07 PM,16.22,,,,
5,12/13/19 12:26:08 PM,16.56,,,,
6,12/13/19 12:26:09 PM,16.22,,,,
7,12/13/19 12:26:10 PM,16.22,,,,
8,12/13/19 12:26:11 PM,16.56,,,,
9,12/13/19 12:26:12 PM,16.56,,,,
10,12/13/19 12:26:13 PM,16.56,,,,
11,12/13/19 12:26:14 PM,16.56,,,,
12,12/13/19 12:26:15 PM,16.56,,,,
13,12/13/19 12:26:16 PM,16.56,,,,
14,12/13/19 12:26:17 PM,16.56,,,,
15,12/13/19 12:26:18 PM,16.56,,,,
16,12/13/19 12:26:19 PM,16.56,,,,
17,12/13/19 12:26:20 PM,16.56,,,,
18,12/13/19 12:26:21 PM,16.56,,,,
19,12/13/19 12:26:22 PM,16.56,,,,
20,12/13/19 12:26:23 PM,16.56,,,,
21,12/13/19 12:26:24 PM,16.56,,,,
22,12/13/19 12:26:25 PM,16.56,,,,
23,12/13/19 12:26:26 PM,16.90,,,,
24,12/13/19 12:26:27 PM,16.90,,,,
25,12/13/19 12:26:28 PM,17.23,,,,
26,12/13/19 12:26:29 PM,17.23,,,,
27,12/13/19 12:26:30 PM,16.56,,,,
28,12/13/19 12:26:31 PM,16.22,,,,
29,12/13/19 12:26:32 PM,16.22,,,,
30,12/13/19 12:26:33 PM,15.88,,,,
31,12/13/19 12:26:34 PM,15.88,,,,
32,12/13/19 12:26:35 PM,15.88,,,,
33,12/13/19 12:26:36 PM,15.54,,,,
34,12/13/19 12:26:37 PM,15.88,,,,
35,12/13/19 12:26:38 PM,15.88,,,,
36,12/13/19 12:26:39 PM,15.88,,,,
37,12/13/19 12:26:40 PM,15.54,,,,
38,12/13/19 12:26:41 PM,15.54,,,,
39,12/13/19 12:26:42 PM,15.54,,,,
40,12/13/19 12:26:43 PM,15.20,,,,
41,12/13/19 12:26:44 PM,15.20,,,,
42,12/13/19 12:26:45 PM,15.20,,,,
43,12/13/19 12:26:46 PM,15.20,,,,
44,12/13/19 12:26:47 PM,15.20,,,,
45,12/13/19 12:26:48 PM,15.20,,,,
46,12/13/19 12:26:49 PM,15.20,,,,
47,12/13/19 12:26:50 PM,15.20,,,,
48,12/13/19 12:26:51 PM,15.20,,,,
49,12/13/19 12:26:52 PM,14.86,,,,
50,12/13/19 12:26:53 PM,14.86,,,,
51,12/13/19 12:26:54 PM,14.86,,,,
52,12/13/19 12:26:55 PM,14.86,,,,
53,12/13/19 12:26:56 PM,14.86,,,,
54,12/13/19 12:26:57 PM,14.86,,,,
55,12/13/19 12:26:58 PM,14.86,,,,
56,12/13/19 12:26:59 PM,14.53,,,,
57,12/13/19 12:27:00 PM,14.53,,,,
58,12/13/19 12:27:01 PM,14.53,,,,
59,12/13/19 12:27:02 PM,14.53,,,,
60,12/13/19 12:27:03 PM,14.86,,,,
61,12/13/19 12:27:04 PM,14.86,,,,
62,12/13/19 12:27:05 PM,14.53,,,,
63,12/13/19 12:27:06 PM,14.53,,,,
64,12/13/19 12:27:07 PM,14.53,,,,
65,12/13/19 12:27:08 PM,14.53,,,,
66,12/13/19 12:27:09 PM,14.19,,,,
67,12/13/19 12:27:10 PM,14.19,,,,
68,12/13/19 12:27:11 PM,14.19,,,,
69,12/13/19 12:27:12 PM,14.19,,,,
70,12/13/19 12:27:13 PM,14.19,,,,
71,12/13/19 12:27:14 PM,14.19,,,,
72,12/13/19 12:27:15 PM,14.19,,,,
73,12/13/19 12:27:16 PM,13.85,,,,
74,12/13/19 12:27:17 PM,13.85,,,,
75,12/13/19 12:27:18 PM,13.85,,,,
76,12/13/19 12:27:19 PM,13.85,,,,
77,12/13/19 12:27:20 PM,13.85,,,,
78,12/13/19 12:27:21 PM,13.85,,,,
79,12/13/19 12:27:22 PM,13.85,,,,
80,12/13/19 12:27:23 PM,13.85,,,,
81,12/13/19 12:27:24 PM,13.85,,,,
82,12/13/19 12:27:25 PM,13.85,,,,
83,12/13/19 12:27:26 PM,13.85,,,,
84,12/13/19 12:27:27 PM,13.85,,,,
85,12/13/19 12:27:28 PM,13.85,,,,
86,12/13/19 12:27:29 PM,13.85,,,,
87,12/13/19 12:27:30 PM,13.85,,,,
88,12/13/19 12:27:31 PM,13.85,,,,
89,12/13/19 12:27:32 PM,13.85,,,,
90,12/13/19 12:27:33 PM,13.85,,,,
91,12/13/19 12:27:34 PM,13.85,,,,
92,12/13/19 12:27:35 PM,13.85,,,,
93,12/13/19 12:27:36 PM,13.85,,,,
94,12/13/19 12:27:37 PM,13.85,,,,
95,12/13/19 12:27:38 PM,13.85,,,,
96,12/13/19 12:27:39 PM,13.85,,,,
97,12/13/19 12:27:40 PM,13.85,,,,
98,12/13/19 12:27:41 PM,13.51,,,,
99,12/13/19 12:27:42 PM,13.51,,,,
100,12/13/19 12:27:43 PM,13.51,,,,
101,12/13/19 12:27:44 PM,13.51,,,,
102,12/13/19 12:27:45 PM,13.17,,,,
103,12/13/19 12:27:46 PM,13.51,,,,
104,12/13/19 12:27:47 PM,13.51,,,,
105,12/13/19 12:27:48 PM,13.51,,,,
106,12/13/19 12:27:49 PM,13.51,,,,
107,12/13/19 12:27:50 PM,13.51,,,,
