"Plot Title: 31l"
"#","Date Time, GMT-06:00","K-Type, °C (LGR S/N: 2247377, SEN S/N: 2247377)","Started (LGR S/N: 2247377)","Button Down (LGR S/N: 2247377)","Button Up (LGR S/N: 2247377)","End Of File (LGR S/N: 2247377)"
1,12/13/19 12:26:16 PM,15.88,Logged,,,
2,12/13/19 12:26:17 PM,15.54,,Logged,,
3,12/13/19 12:26:18 PM,15.54,,,Logged,
4,12/13/19 12:26:19 PM,15.54,,,,
5,12/13/19 12:26:20 PM,15.88,,,,
6,12/13/19 12:26:21 PM,15.54,,,,
7,12/13/19 12:26:22 PM,15.20,,,,
8,12/13/19 12:26:23 PM,14.86,,,,
9,12/13/19 12:26:24 PM,14.53,,,,
10,12/13/19 12:26:25 PM,14.53,,,,
11,12/13/19 12:26:26 PM,14.53,,,,
12,12/13/19 12:26:27 PM,14.53,,,,
13,12/13/19 12:26:28 PM,14.53,,,,
14,12/13/19 12:26:29 PM,14.53,,,,
15,12/13/19 12:26:30 PM,14.53,,,,
16,12/13/19 12:26:31 PM,14.19,,,,
17,12/13/19 12:26:32 PM,14.19,,,,
18,12/13/19 12:26:33 PM,14.19,,,,
19,12/13/19 12:26:34 PM,14.19,,,,
20,12/13/19 12:26:35 PM,14.19,,,,
21,12/13/19 12:26:36 PM,14.19,,,,
22,12/13/19 12:26:37 PM,14.19,,,,
23,12/13/19 12:26:38 PM,14.19,,,,
24,12/13/19 12:26:39 PM,14.19,,,,
25,12/13/19 12:26:40 PM,14.19,,,,
26,12/13/19 12:26:41 PM,14.53,,,,
27,12/13/19 12:26:42 PM,14.53,,,,
28,12/13/19 12:26:43 PM,14.86,,,,
29,12/13/19 12:26:44 PM,15.20,,,,
30,12/13/19 12:26:45 PM,15.20,,,,
31,12/13/19 12:26:46 PM,15.20,,,,
32,12/13/19 12:26:47 PM,15.20,,,,
33,12/13/19 12:26:48 PM,15.20,,,,
34,12/13/19 12:26:49 PM,15.20,,,,
35,12/13/19 12:26:50 PM,15.20,,,,
36,12/13/19 12:26:51 PM,14.86,,,,
37,12/13/19 12:26:52 PM,14.86,,,,
38,12/13/19 12:26:53 PM,14.86,,,,
39,12/13/19 12:26:54 PM,14.86,,,,
40,12/13/19 12:26:55 PM,14.86,,,,
41,12/13/19 12:26:56 PM,14.53,,,,
42,12/13/19 12:26:57 PM,14.53,,,,
43,12/13/19 12:26:58 PM,14.19,,,,
44,12/13/19 12:26:59 PM,14.53,,,,
45,12/13/19 12:27:00 PM,14.86,,,,
46,12/13/19 12:27:01 PM,14.53,,,,
47,12/13/19 12:27:02 PM,14.53,,,,
48,12/13/19 12:27:03 PM,14.53,,,,
49,12/13/19 12:27:04 PM,14.53,,,,
50,12/13/19 12:27:05 PM,14.53,,,,
51,12/13/19 12:27:06 PM,14.53,,,,
52,12/13/19 12:27:07 PM,14.53,,,,
53,12/13/19 12:27:08 PM,14.53,,,,
54,12/13/19 12:27:09 PM,14.19,,,,
55,12/13/19 12:27:10 PM,14.19,,,,
56,12/13/19 12:27:11 PM,14.53,,,,
57,12/13/19 12:27:12 PM,14.53,,,,
58,12/13/19 12:27:13 PM,14.53,,,,
59,12/13/19 12:27:14 PM,14.53,,,,
60,12/13/19 12:27:15 PM,14.53,,,,
61,12/13/19 12:27:16 PM,14.19,,,,
62,12/13/19 12:27:17 PM,14.19,,,,
63,12/13/19 12:27:18 PM,14.19,,,,
64,12/13/19 12:27:19 PM,14.19,,,,
65,12/13/19 12:27:20 PM,14.53,,,,
66,12/13/19 12:27:21 PM,14.19,,,,
67,12/13/19 12:27:22 PM,14.19,,,,
68,12/13/19 12:27:23 PM,14.19,,,,
69,12/13/19 12:27:24 PM,14.19,,,,
70,12/13/19 12:27:25 PM,14.19,,,,
71,12/13/19 12:27:26 PM,14.19,,,,
72,12/13/19 12:27:27 PM,14.19,,,,
73,12/13/19 12:27:28 PM,14.19,,,,
74,12/13/19 12:27:29 PM,14.19,,,,
75,12/13/19 12:27:30 PM,14.19,,,,
76,12/13/19 12:27:31 PM,14.19,,,,
77,12/13/19 12:27:32 PM,14.19,,,,
78,12/13/19 12:27:33 PM,14.19,,,,
79,12/13/19 12:27:34 PM,14.19,,,,
80,12/13/19 12:27:35 PM,14.19,,,,
81,12/13/19 12:27:36 PM,14.19,,,,
82,12/13/19 12:27:37 PM,14.19,,,,
83,12/13/19 12:27:38 PM,14.19,,,,
84,12/13/19 12:27:39 PM,14.19,,,,
85,12/13/19 12:27:40 PM,14.19,,,,
86,12/13/19 12:27:41 PM,14.19,,,,
87,12/13/19 12:27:42 PM,14.19,,,,
88,12/13/19 12:27:43 PM,14.19,,,,
89,12/13/19 12:27:44 PM,14.19,,,,
90,12/13/19 12:27:45 PM,14.19,,,,
91,12/13/19 12:27:46 PM,14.19,,,,
92,12/13/19 12:27:47 PM,14.19,,,,
93,12/13/19 12:27:48 PM,14.19,,,,
94,12/13/19 12:27:49 PM,14.19,,,,
95,12/13/19 12:27:50 PM,14.19,,,,
96,12/13/19 12:27:51 PM,14.19,,,,
97,12/13/19 12:27:52 PM,14.19,,,,
98,12/13/19 12:27:53 PM,14.19,,,,
99,12/13/19 12:27:54 PM,14.19,,,,
100,12/13/19 12:27:55 PM,14.19,,,,
101,12/13/19 12:27:56 PM,14.19,,,,
102,12/13/19 12:27:57 PM,14.19,,,,
103,12/13/19 12:27:58 PM,14.19,,,,
104,12/13/19 12:27:59 PM,14.19,,,,
105,12/13/19 12:28:00 PM,14.19,,,,
106,12/13/19 12:28:01 PM,14.19,,,,
107,12/13/19 12:28:02 PM,14.19,,,,
108,12/13/19 12:28:03 PM,14.19,,,,
109,12/13/19 12:28:04 PM,14.19,,,,
110,12/13/19 12:28:05 PM,14.19,,,,
111,12/13/19 12:28:06 PM,14.19,,,,
112,12/13/19 12:28:07 PM,14.19,,,,
113,12/13/19 12:28:08 PM,14.19,,,,
114,12/13/19 12:28:09 PM,14.19,,,,
115,12/13/19 12:28:10 PM,14.19,,,,
116,12/13/19 12:28:11 PM,14.19,,,,
117,12/13/19 12:28:12 PM,14.19,,,,
118,12/13/19 12:28:13 PM,14.19,,,,
119,12/13/19 12:28:14 PM,14.19,,,,
120,12/13/19 12:28:15 PM,14.19,,,,
121,12/13/19 12:28:16 PM,14.19,,,,
122,12/13/19 12:28:17 PM,14.19,,,,
123,12/13/19 12:28:18 PM,14.19,,,,
124,12/13/19 12:28:19 PM,14.19,,,,
125,12/13/19 12:28:20 PM,14.19,,,,
126,12/13/19 12:28:21 PM,14.19,,,,
127,12/13/19 12:28:22 PM,14.19,,,,
128,12/13/19 12:28:23 PM,14.19,,,,
129,12/13/19 12:28:24 PM,14.19,,,,
130,12/13/19 12:28:25 PM,14.19,,,,
131,12/13/19 12:28:26 PM,14.19,,,,
132,12/13/19 12:28:27 PM,14.19,,,,
133,12/13/19 12:28:28 PM,13.85,,,,
134,12/13/19 12:28:29 PM,14.19,,,,
135,12/13/19 12:28:30 PM,14.19,,,,
136,12/13/19 12:28:31 PM,14.19,,,,
137,12/13/19 12:28:32 PM,14.19,,,,
138,12/13/19 12:28:33 PM,14.19,,,,
139,12/13/19 12:28:34 PM,14.19,,,,
140,12/13/19 12:28:35 PM,14.19,,,,
141,12/13/19 12:28:36 PM,13.85,,,,
142,12/13/19 12:28:37 PM,14.19,,,,
143,12/13/19 12:28:38 PM,14.19,,,,
144,12/13/19 12:28:39 PM,14.19,,,,
145,12/13/19 12:28:40 PM,14.19,,,,
146,12/13/19 12:28:41 PM,14.19,,,,
147,12/13/19 12:28:42 PM,14.19,,,,
148,12/13/19 12:28:43 PM,14.19,,,,
149,12/13/19 12:28:44 PM,14.19,,,,
150,12/13/19 12:28:45 PM,14.19,,,,
151,12/13/19 12:28:46 PM,14.19,,,,
152,12/13/19 12:28:47 PM,14.19,,,,
153,12/13/19 12:28:48 PM,14.19,,,,
154,12/13/19 12:28:49 PM,14.19,,,,
155,12/13/19 12:28:50 PM,14.19,,,,
156,12/13/19 12:28:51 PM,14.19,,,,
157,12/13/19 12:28:52 PM,14.19,,,,
158,12/13/19 12:28:53 PM,14.19,,,,
159,12/13/19 12:28:54 PM,14.19,,,,
160,12/13/19 12:28:55 PM,14.19,,,,
161,12/13/19 12:28:56 PM,14.19,,,,
162,12/13/19 12:28:57 PM,14.19,,,,
163,12/13/19 12:28:58 PM,14.19,,,,
164,12/13/19 12:28:59 PM,14.19,,,,
165,12/13/19 12:29:00 PM,14.19,,,,
166,12/13/19 12:29:01 PM,14.19,,,,
167,12/13/19 12:29:02 PM,14.19,,,,
168,12/13/19 12:29:03 PM,14.19,,,,
169,12/13/19 12:29:04 PM,14.19,,,,
170,12/13/19 12:29:05 PM,14.19,,,,
171,12/13/19 12:29:06 PM,14.19,,,,
172,12/13/19 12:29:07 PM,14.19,,,,
173,12/13/19 12:29:08 PM,14.19,,,,
174,12/13/19 12:29:09 PM,14.19,,,,
175,12/13/19 12:29:10 PM,14.19,,,,
