"Plot Title: 3l"
"#","Date Time, GMT-06:00","K-Type, °C (LGR S/N: 1283025, SEN S/N: 1283025)","Started (LGR S/N: 1283025)","Button Down (LGR S/N: 1283025)","Button Up (LGR S/N: 1283025)","End Of File (LGR S/N: 1283025)"
1,12/13/19 10:39:15 AM,11.47,Logged,,,
2,12/13/19 10:39:16 AM,11.47,,,,
3,12/13/19 10:39:17 AM,11.47,,Logged,,
4,12/13/19 10:39:18 AM,11.47,,,,
5,12/13/19 10:39:19 AM,11.47,,,,
6,12/13/19 10:39:20 AM,11.47,,,,
7,12/13/19 10:39:21 AM,11.47,,,Logged,
8,12/13/19 10:39:22 AM,11.47,,,,
9,12/13/19 10:39:23 AM,11.47,,,,
10,12/13/19 10:39:24 AM,11.47,,,,
11,12/13/19 10:39:25 AM,11.47,,,,
12,12/13/19 10:39:26 AM,11.47,,,,
13,12/13/19 10:39:27 AM,11.47,,,,
14,12/13/19 10:39:28 AM,11.47,,,,
15,12/13/19 10:39:29 AM,11.47,,,,
16,12/13/19 10:39:30 AM,11.14,,,,
17,12/13/19 10:39:31 AM,11.47,,,,
18,12/13/19 10:39:32 AM,11.47,,,,
19,12/13/19 10:39:33 AM,11.47,,,,
20,12/13/19 10:39:34 AM,11.47,,,,
21,12/13/19 10:39:35 AM,11.47,,,,
22,12/13/19 10:39:36 AM,11.47,,,,
23,12/13/19 10:39:37 AM,11.47,,,,
24,12/13/19 10:39:38 AM,11.47,,,,
25,12/13/19 10:39:39 AM,11.47,,,,
26,12/13/19 10:39:40 AM,11.47,,,,
27,12/13/19 10:39:41 AM,11.47,,,,
28,12/13/19 10:39:42 AM,11.47,,,,
29,12/13/19 10:39:43 AM,11.47,,,,
30,12/13/19 10:39:44 AM,11.47,,,,
31,12/13/19 10:39:45 AM,11.47,,,,
32,12/13/19 10:39:46 AM,11.81,,,,
33,12/13/19 10:39:47 AM,11.81,,,,
34,12/13/19 10:39:48 AM,11.81,,,,
35,12/13/19 10:39:49 AM,11.47,,,,
36,12/13/19 10:39:50 AM,12.15,,,,
37,12/13/19 10:39:51 AM,11.47,,,,
38,12/13/19 10:39:52 AM,11.47,,,,
39,12/13/19 10:39:53 AM,11.47,,,,
40,12/13/19 10:39:54 AM,11.47,,,,
41,12/13/19 10:39:55 AM,11.47,,,,
42,12/13/19 10:39:56 AM,11.47,,,,
43,12/13/19 10:39:57 AM,11.47,,,,
44,12/13/19 10:39:58 AM,11.47,,,,
45,12/13/19 10:39:59 AM,11.47,,,,
46,12/13/19 10:40:00 AM,11.81,,,,
47,12/13/19 10:40:01 AM,11.47,,,,
48,12/13/19 10:40:02 AM,11.47,,,,
49,12/13/19 10:40:03 AM,11.47,,,,
50,12/13/19 10:40:04 AM,11.81,,,,
51,12/13/19 10:40:05 AM,11.47,,,,
52,12/13/19 10:40:06 AM,11.47,,,,
53,12/13/19 10:40:07 AM,11.47,,,,
54,12/13/19 10:40:08 AM,11.81,,,,
55,12/13/19 10:40:09 AM,11.81,,,,
56,12/13/19 10:40:10 AM,11.81,,,,
57,12/13/19 10:40:11 AM,11.47,,,,
58,12/13/19 10:40:12 AM,11.81,,,,
59,12/13/19 10:40:13 AM,11.47,,,,
60,12/13/19 10:40:14 AM,11.81,,,,
61,12/13/19 10:40:15 AM,11.47,,,,
62,12/13/19 10:40:16 AM,11.81,,,,
63,12/13/19 10:40:17 AM,11.47,,,,
64,12/13/19 10:40:18 AM,11.47,,,,
65,12/13/19 10:40:19 AM,11.81,,,,
66,12/13/19 10:40:20 AM,11.81,,,,
67,12/13/19 10:40:21 AM,11.81,,,,
68,12/13/19 10:40:22 AM,11.81,,,,
69,12/13/19 10:40:23 AM,11.81,,,,
70,12/13/19 10:40:24 AM,11.47,,,,
71,12/13/19 10:40:25 AM,12.15,,,,
72,12/13/19 10:40:26 AM,11.81,,,,
73,12/13/19 10:40:27 AM,11.81,,,,
74,12/13/19 10:40:28 AM,11.81,,,,
75,12/13/19 10:40:29 AM,11.47,,,,
76,12/13/19 10:40:30 AM,11.47,,,,
77,12/13/19 10:40:31 AM,11.81,,,,
78,12/13/19 10:40:32 AM,11.47,,,,
79,12/13/19 10:40:33 AM,11.47,,,,
80,12/13/19 10:40:34 AM,11.14,,,,
81,12/13/19 10:40:35 AM,11.47,,,,
82,12/13/19 10:40:36 AM,11.81,,,,
83,12/13/19 10:40:37 AM,11.47,,,,
84,12/13/19 10:40:38 AM,11.47,,,,
85,12/13/19 10:40:39 AM,11.47,,,,
86,12/13/19 10:40:40 AM,11.47,,,,
87,12/13/19 10:40:41 AM,11.47,,,,
88,12/13/19 10:40:42 AM,11.47,,,,
89,12/13/19 10:40:43 AM,11.47,,,,
90,12/13/19 10:40:44 AM,11.47,,,,
91,12/13/19 10:40:45 AM,11.47,,,,
92,12/13/19 10:40:46 AM,11.14,,,,
93,12/13/19 10:40:47 AM,11.14,,,,
94,12/13/19 10:40:48 AM,11.47,,,,
95,12/13/19 10:40:49 AM,11.47,,,,
96,12/13/19 10:40:50 AM,11.14,,,,
97,12/13/19 10:40:51 AM,11.14,,,,
98,12/13/19 10:40:52 AM,11.14,,,,
99,12/13/19 10:40:53 AM,11.14,,,,
100,12/13/19 10:40:54 AM,11.14,,,,
101,12/13/19 10:40:55 AM,11.14,,,,
102,12/13/19 10:40:56 AM,11.14,,,,
103,12/13/19 10:40:57 AM,11.47,,,,
104,12/13/19 10:40:58 AM,11.14,,,,
105,12/13/19 10:40:59 AM,11.47,,,,
106,12/13/19 10:41:00 AM,10.80,,,,
107,12/13/19 10:41:01 AM,10.80,,,,
108,12/13/19 10:41:02 AM,11.14,,,,
109,12/13/19 10:41:03 AM,10.80,,,,
110,12/13/19 10:41:04 AM,10.80,,,,
111,12/13/19 10:41:05 AM,10.80,,,,
112,12/13/19 10:41:06 AM,10.80,,,,
113,12/13/19 10:41:07 AM,10.80,,,,
114,12/13/19 10:41:08 AM,10.80,,,,
115,12/13/19 10:41:09 AM,10.80,,,,
116,12/13/19 10:41:10 AM,10.80,,,,
117,12/13/19 10:41:11 AM,10.80,,,,
118,12/13/19 10:41:12 AM,10.80,,,,
119,12/13/19 10:41:13 AM,10.80,,,,
120,12/13/19 10:41:14 AM,10.80,,,,
121,12/13/19 10:41:15 AM,10.80,,,,
122,12/13/19 10:41:16 AM,10.80,,,,
123,12/13/19 10:41:17 AM,10.80,,,,
124,12/13/19 10:41:18 AM,10.80,,,,
125,12/13/19 10:41:19 AM,10.80,,,,
126,12/13/19 10:41:20 AM,11.14,,,,
127,12/13/19 10:41:21 AM,10.80,,,,
128,12/13/19 10:41:22 AM,10.80,,,,
129,12/13/19 10:41:23 AM,10.80,,,,
130,12/13/19 10:41:24 AM,11.47,,,,
131,12/13/19 10:41:25 AM,11.14,,,,
132,12/13/19 10:41:26 AM,10.80,,,,
133,12/13/19 10:41:27 AM,10.80,,,,
134,12/13/19 10:41:28 AM,10.80,,,,
135,12/13/19 10:41:29 AM,11.14,,,,
136,12/13/19 10:41:30 AM,11.14,,,,
137,12/13/19 10:41:31 AM,10.80,,,,
138,12/13/19 10:41:32 AM,10.80,,,,
139,12/13/19 10:41:33 AM,10.80,,,,
140,12/13/19 10:41:34 AM,11.14,,,,
141,12/13/19 10:41:35 AM,11.14,,,,
142,12/13/19 10:41:36 AM,11.14,,,,
143,12/13/19 10:41:37 AM,11.14,,,,
144,12/13/19 10:41:38 AM,11.14,,,,
145,12/13/19 10:41:39 AM,10.80,,,,
146,12/13/19 10:41:40 AM,11.14,,,,
147,12/13/19 10:41:41 AM,11.14,,,,
148,12/13/19 10:41:42 AM,11.14,,,,
149,12/13/19 10:41:43 AM,11.14,,,,
150,12/13/19 10:41:44 AM,11.14,,,,
151,12/13/19 10:41:45 AM,11.14,,,,
152,12/13/19 10:41:46 AM,11.14,,,,
153,12/13/19 10:41:47 AM,11.14,,,,
154,12/13/19 10:41:48 AM,11.14,,,,
155,12/13/19 10:41:49 AM,11.14,,,,
156,12/13/19 10:41:50 AM,11.14,,,,
157,12/13/19 10:41:51 AM,11.14,,,,
158,12/13/19 10:41:52 AM,11.14,,,,
159,12/13/19 10:41:53 AM,11.14,,,,
160,12/13/19 10:41:54 AM,11.14,,,,
161,12/13/19 10:41:55 AM,11.14,,,,
162,12/13/19 10:41:56 AM,11.14,,,,
163,12/13/19 10:41:57 AM,11.14,,,,
164,12/13/19 10:41:58 AM,11.14,,,,
165,12/13/19 10:41:59 AM,11.14,,,,
166,12/13/19 10:42:00 AM,11.14,,,,
167,12/13/19 10:42:01 AM,11.14,,,,
168,12/13/19 10:42:02 AM,11.14,,,,
169,12/13/19 10:42:03 AM,11.14,,,,
170,12/13/19 10:42:04 AM,11.14,,,,
171,12/13/19 10:42:05 AM,11.47,,,,
172,12/13/19 10:42:06 AM,11.81,,,,
173,12/13/19 10:42:07 AM,11.81,,,,
174,12/13/19 10:42:08 AM,11.14,,,,
175,12/13/19 10:42:09 AM,11.14,,,,
176,12/13/19 10:42:10 AM,11.47,,,,
177,12/13/19 10:42:11 AM,11.47,,,,
178,12/13/19 10:42:12 AM,11.47,,,,
179,12/13/19 10:42:13 AM,11.47,,,,
180,12/13/19 10:42:14 AM,11.47,,,,
181,12/13/19 10:42:15 AM,11.47,,,,
182,12/13/19 10:42:16 AM,11.47,,,,
183,12/13/19 10:42:17 AM,11.47,,,,
184,12/13/19 10:42:18 AM,11.47,,,,
185,12/13/19 10:42:19 AM,11.47,,,,
186,12/13/19 10:42:20 AM,11.47,,,,
187,12/13/19 10:42:21 AM,11.47,,,,
188,12/13/19 10:42:22 AM,11.47,,,,
189,12/13/19 10:42:23 AM,11.47,,,,
190,12/13/19 10:42:24 AM,11.47,,,,
191,12/13/19 10:42:25 AM,11.47,,,,
192,12/13/19 10:42:26 AM,11.47,,,,
193,12/13/19 10:42:27 AM,11.47,,,,
194,12/13/19 10:42:28 AM,11.47,,,,
195,12/13/19 10:42:29 AM,11.47,,,,
196,12/13/19 10:42:30 AM,11.47,,,,
197,12/13/19 10:42:31 AM,11.47,,,,
198,12/13/19 10:42:32 AM,11.47,,,,
199,12/13/19 10:42:33 AM,11.47,,,,
200,12/13/19 10:42:34 AM,11.47,,,,
201,12/13/19 10:42:35 AM,11.47,,,,
202,12/13/19 10:42:36 AM,11.81,,,,
203,12/13/19 10:42:37 AM,11.47,,,,
204,12/13/19 10:42:38 AM,11.81,,,,
205,12/13/19 10:42:39 AM,11.47,,,,
206,12/13/19 10:42:40 AM,11.81,,,,
207,12/13/19 10:42:41 AM,11.81,,,,
208,12/13/19 10:42:42 AM,11.81,,,,
209,12/13/19 10:42:43 AM,11.81,,,,
210,12/13/19 10:42:44 AM,11.81,,,,
211,12/13/19 10:42:45 AM,11.81,,,,
212,12/13/19 10:42:46 AM,11.81,,,,
213,12/13/19 10:42:47 AM,11.81,,,,
214,12/13/19 10:42:48 AM,11.81,,,,
215,12/13/19 10:42:49 AM,11.81,,,,
216,12/13/19 10:42:50 AM,11.81,,,,
217,12/13/19 10:42:51 AM,11.81,,,,
218,12/13/19 10:42:52 AM,11.47,,,,
219,12/13/19 10:42:53 AM,11.81,,,,
220,12/13/19 10:42:54 AM,11.81,,,,
221,12/13/19 10:42:55 AM,11.81,,,,
222,12/13/19 10:42:56 AM,11.47,,,,
223,12/13/19 10:42:57 AM,11.47,,,,
224,12/13/19 10:42:58 AM,11.47,,,,
225,12/13/19 10:42:59 AM,11.47,,,,
226,12/13/19 10:43:00 AM,11.47,,,,
227,12/13/19 10:43:01 AM,11.47,,,,
228,12/13/19 10:43:02 AM,11.47,,,,
229,12/13/19 10:43:03 AM,11.47,,,,
230,12/13/19 10:43:04 AM,11.47,,,,
231,12/13/19 10:43:05 AM,11.47,,,,
232,12/13/19 10:43:06 AM,11.47,,,,
233,12/13/19 10:43:07 AM,11.47,,,,
234,12/13/19 10:43:08 AM,11.14,,,,
235,12/13/19 10:43:09 AM,11.14,,,,
236,12/13/19 10:43:10 AM,11.47,,,,
237,12/13/19 10:43:11 AM,11.14,,,,
238,12/13/19 10:43:12 AM,11.47,,,,
239,12/13/19 10:43:13 AM,11.14,,,,
240,12/13/19 10:43:14 AM,11.47,,,,
241,12/13/19 10:43:15 AM,11.14,,,,
242,12/13/19 10:43:16 AM,11.14,,,,
243,12/13/19 10:43:17 AM,11.47,,,,
244,12/13/19 10:43:18 AM,11.14,,,,
245,12/13/19 10:43:19 AM,11.47,,,,
246,12/13/19 10:43:20 AM,11.81,,,,
247,12/13/19 10:43:21 AM,11.81,,,,
248,12/13/19 10:43:22 AM,11.47,,,,
249,12/13/19 10:43:23 AM,11.81,,,,
250,12/13/19 10:43:24 AM,11.81,,,,
251,12/13/19 10:43:25 AM,12.49,,,,
252,12/13/19 10:43:26 AM,12.83,,,,
253,12/13/19 10:43:27 AM,13.17,,,,
254,12/13/19 10:43:28 AM,12.83,,,,
255,12/13/19 10:43:29 AM,13.17,,,,
256,12/13/19 10:43:30 AM,13.17,,,,
257,12/13/19 10:43:31 AM,13.17,,,,
258,12/13/19 10:43:32 AM,13.51,,,,
259,12/13/19 10:43:33 AM,14.53,,,,
260,12/13/19 10:43:34 AM,14.53,,,,
261,12/13/19 10:43:35 AM,14.53,,,,
262,12/13/19 10:43:36 AM,15.20,,,,
263,12/13/19 10:43:37 AM,15.20,,,,
264,12/13/19 10:43:38 AM,15.20,,,,
265,12/13/19 10:43:39 AM,14.86,,,,
266,12/13/19 10:43:40 AM,14.86,,,,
267,12/13/19 10:43:41 AM,14.86,,,,
268,12/13/19 10:43:42 AM,14.53,,,,
269,12/13/19 10:43:43 AM,14.53,,,,
270,12/13/19 10:43:44 AM,14.53,,,,
271,12/13/19 10:43:45 AM,14.19,,,,
272,12/13/19 10:43:46 AM,14.19,,,,
273,12/13/19 10:43:47 AM,14.19,,,,
274,12/13/19 10:43:48 AM,14.19,,,,
275,12/13/19 10:43:49 AM,13.85,,,,
276,12/13/19 10:43:50 AM,13.85,,,,
277,12/13/19 10:43:51 AM,13.85,,,,
278,12/13/19 10:43:52 AM,13.85,,,,
279,12/13/19 10:43:53 AM,13.85,,,,
280,12/13/19 10:43:54 AM,13.51,,,,
281,12/13/19 10:43:55 AM,13.51,,,,
282,12/13/19 10:43:56 AM,13.51,,,,
283,12/13/19 10:43:57 AM,13.51,,,,
284,12/13/19 10:43:58 AM,13.51,,,,
285,12/13/19 10:43:59 AM,13.17,,,,
286,12/13/19 10:44:00 AM,13.17,,,,
287,12/13/19 10:44:01 AM,12.83,,,,
288,12/13/19 10:44:02 AM,13.17,,,,
289,12/13/19 10:44:03 AM,13.17,,,,
290,12/13/19 10:44:04 AM,13.17,,,,
291,12/13/19 10:44:05 AM,13.17,,,,
292,12/13/19 10:44:06 AM,12.83,,,,
293,12/13/19 10:44:07 AM,12.83,,,,
294,12/13/19 10:44:08 AM,12.83,,,,
295,12/13/19 10:44:09 AM,12.83,,,,
296,12/13/19 10:44:10 AM,12.83,,,,
297,12/13/19 10:44:11 AM,12.83,,,,
298,12/13/19 10:44:12 AM,12.83,,,,
299,12/13/19 10:44:13 AM,12.83,,,,
300,12/13/19 10:44:14 AM,12.49,,,,
301,12/13/19 10:44:15 AM,12.49,,,,
302,12/13/19 10:44:16 AM,12.49,,,,
303,12/13/19 10:44:17 AM,12.49,,,,
304,12/13/19 10:44:18 AM,12.49,,,,
305,12/13/19 10:44:19 AM,12.49,,,,
306,12/13/19 10:44:20 AM,12.15,,,,
307,12/13/19 10:44:21 AM,12.15,,,,
308,12/13/19 10:44:22 AM,12.15,,,,
309,12/13/19 10:44:23 AM,12.15,,,,
310,12/13/19 10:44:24 AM,12.15,,,,
311,12/13/19 10:44:25 AM,12.15,,,,
312,12/13/19 10:44:26 AM,12.15,,,,
313,12/13/19 10:44:27 AM,12.15,,,,
314,12/13/19 10:44:28 AM,12.15,,,,
315,12/13/19 10:44:29 AM,11.81,,,,
316,12/13/19 10:44:30 AM,11.81,,,,
317,12/13/19 10:44:31 AM,11.81,,,,
318,12/13/19 10:44:32 AM,11.81,,,,
319,12/13/19 10:44:33 AM,11.81,,,,
320,12/13/19 10:44:34 AM,11.81,,,,
321,12/13/19 10:44:35 AM,11.81,,,,
322,12/13/19 10:44:36 AM,11.81,,,,
323,12/13/19 10:44:37 AM,11.81,,,,
324,12/13/19 10:44:38 AM,11.81,,,,
325,12/13/19 10:44:39 AM,11.81,,,,
326,12/13/19 10:44:40 AM,11.81,,,,
327,12/13/19 10:44:41 AM,11.47,,,,
328,12/13/19 10:44:42 AM,11.81,,,,
329,12/13/19 10:44:43 AM,11.47,,,,
330,12/13/19 10:44:44 AM,11.47,,,,
331,12/13/19 10:44:45 AM,11.47,,,,
332,12/13/19 10:44:46 AM,11.47,,,,
333,12/13/19 10:44:47 AM,11.47,,,,
334,12/13/19 10:44:48 AM,11.47,,,,
335,12/13/19 10:44:49 AM,11.47,,,,
336,12/13/19 10:44:50 AM,11.47,,,,
337,12/13/19 10:44:51 AM,11.47,,,,
338,12/13/19 10:44:52 AM,11.47,,,,
339,12/13/19 10:44:53 AM,11.47,,,,
340,12/13/19 10:44:54 AM,11.47,,,,
341,12/13/19 10:44:55 AM,11.14,,,,
342,12/13/19 10:44:56 AM,11.14,,,,
343,12/13/19 10:44:57 AM,11.14,,,,
344,12/13/19 10:44:58 AM,11.14,,,,
345,12/13/19 10:44:59 AM,11.14,,,,
346,12/13/19 10:45:00 AM,11.14,,,,
347,12/13/19 10:45:01 AM,11.14,,,,
348,12/13/19 10:45:02 AM,11.14,,,,
349,12/13/19 10:45:03 AM,11.14,,,,
350,12/13/19 10:45:04 AM,11.14,,,,
351,12/13/19 10:45:05 AM,11.14,,,,
352,12/13/19 10:45:06 AM,11.14,,,,
353,12/13/19 10:45:07 AM,11.14,,,,
354,12/13/19 10:45:08 AM,11.14,,,,
355,12/13/19 10:45:09 AM,11.14,,,,
356,12/13/19 10:45:10 AM,11.14,,,,
357,12/13/19 10:45:11 AM,11.14,,,,
358,12/13/19 10:45:12 AM,11.14,,,,
359,12/13/19 10:45:13 AM,10.80,,,,
360,12/13/19 10:45:14 AM,11.14,,,,
361,12/13/19 10:45:15 AM,11.14,,,,
362,12/13/19 10:45:16 AM,10.80,,,,
363,12/13/19 10:45:17 AM,11.14,,,,
364,12/13/19 10:45:18 AM,10.80,,,,
365,12/13/19 10:45:19 AM,10.80,,,,
366,12/13/19 10:45:20 AM,10.80,,,,
367,12/13/19 10:45:21 AM,10.80,,,,
368,12/13/19 10:45:22 AM,10.80,,,,
369,12/13/19 10:45:23 AM,10.80,,,,
370,12/13/19 10:45:24 AM,10.80,,,,
371,12/13/19 10:45:25 AM,10.80,,,,
372,12/13/19 10:45:26 AM,10.80,,,,
373,12/13/19 10:45:27 AM,10.80,,,,
374,12/13/19 10:45:28 AM,10.80,,,,
375,12/13/19 10:45:29 AM,10.80,,,,
376,12/13/19 10:45:30 AM,10.80,,,,
377,12/13/19 10:45:31 AM,10.80,,,,
378,12/13/19 10:45:32 AM,10.80,,,,
379,12/13/19 10:45:33 AM,10.80,,,,
380,12/13/19 10:45:34 AM,10.80,,,,
381,12/13/19 10:45:35 AM,10.80,,,,
382,12/13/19 10:45:36 AM,10.80,,,,
383,12/13/19 10:45:37 AM,10.46,,,,
384,12/13/19 10:45:38 AM,10.46,,,,
385,12/13/19 10:45:39 AM,10.46,,,,
