"Plot Title: 5s"
"#","Date Time, GMT-06:00","K-Type, °C (LGR S/N: 1283030, SEN S/N: 1283030)","Started (LGR S/N: 1283030)","Button Down (LGR S/N: 1283030)","Button Up (LGR S/N: 1283030)","Bad Battery (LGR S/N: 1283030)","End Of File (LGR S/N: 1283030)"
1,12/13/19 09:56:54 AM,146.68,Logged,,,,
2,12/13/19 09:56:55 AM,79.60,,,,,
3,12/13/19 09:56:56 AM,54.81,,,,,
4,12/13/19 09:56:57 AM,34.68,,,,,
5,12/13/19 09:56:58 AM,50.21,,Logged,,,
6,12/13/19 09:56:59 AM,-5.25,,,Logged,,
7,12/13/19 09:57:00 AM,11.14,,Logged,,,
8,12/13/19 09:57:01 AM,11.14,,,Logged,,
9,12/13/19 09:57:02 AM,15.54,,,,,
10,12/13/19 09:57:03 AM,16.56,,,,,
11,12/13/19 09:57:04 AM,9.78,,,,,
12,12/13/19 09:57:05 AM,2.30,,,,,
13,12/13/19 09:57:06 AM,9.10,,,,,
14,12/13/19 09:57:07 AM,17.23,,,,,
15,12/13/19 09:57:08 AM,23.64,,,,,
16,12/13/19 09:57:09 AM,14.86,,,,,
17,12/13/19 09:57:10 AM,16.90,,,,,
18,12/13/19 09:57:11 AM,12.49,,,,,
19,12/13/19 09:57:12 AM,10.80,,,,,
20,12/13/19 09:57:13 AM,10.80,,,,,
21,12/13/19 09:57:14 AM,10.46,,,,,
22,12/13/19 09:57:15 AM,10.80,,,,,
23,12/13/19 09:57:16 AM,11.14,,,,,
24,12/13/19 09:57:17 AM,11.47,,,,,
25,12/13/19 09:57:18 AM,10.80,,,,,
26,12/13/19 09:57:19 AM,10.12,,,,,
27,12/13/19 09:57:20 AM,10.80,,,,,
28,12/13/19 09:57:21 AM,10.46,,,,,
29,12/13/19 09:57:22 AM,10.80,,,,,
30,12/13/19 09:57:23 AM,10.80,,,,,
31,12/13/19 09:57:24 AM,10.80,,,,,
32,12/13/19 09:57:25 AM,10.80,,,,,
33,12/13/19 09:57:26 AM,10.80,,,,,
34,12/13/19 09:57:27 AM,10.80,,,,,
35,12/13/19 09:57:28 AM,10.80,,,,,
36,12/13/19 09:57:29 AM,10.80,,,,,
37,12/13/19 09:57:30 AM,10.80,,,,,
38,12/13/19 09:57:31 AM,10.80,,,,,
39,12/13/19 09:57:32 AM,10.80,,,,,
40,12/13/19 09:57:33 AM,10.80,,,,,
41,12/13/19 09:57:34 AM,11.14,,,,,
42,12/13/19 09:57:35 AM,11.14,,,,,
43,12/13/19 09:57:36 AM,11.14,,,,,
44,12/13/19 09:57:37 AM,11.14,,,,,
45,12/13/19 09:57:38 AM,11.14,,,,,
46,12/13/19 09:57:39 AM,11.14,,,,,
47,12/13/19 09:57:40 AM,11.14,,,,,
48,12/13/19 09:57:41 AM,11.14,,,,,
49,12/13/19 09:57:42 AM,11.14,,,,,
50,12/13/19 09:57:43 AM,11.14,,,,,
51,12/13/19 09:57:44 AM,11.14,,,,,
52,12/13/19 09:57:45 AM,11.14,,,,,
53,12/13/19 09:57:46 AM,11.14,,,,,
54,12/13/19 09:57:47 AM,11.14,,,,,
55,12/13/19 09:57:48 AM,11.14,,,,,
56,12/13/19 09:57:49 AM,11.14,,,,,
57,12/13/19 09:57:50 AM,11.14,,,,,
58,12/13/19 09:57:51 AM,11.14,,,,,
59,12/13/19 09:57:52 AM,11.14,,,,,
60,12/13/19 09:57:53 AM,11.14,,,,,
61,12/13/19 09:57:54 AM,11.14,,,,,
62,12/13/19 09:57:55 AM,11.14,,,,,
63,12/13/19 09:57:56 AM,11.14,,,,,
64,12/13/19 09:57:57 AM,11.14,,,,,
65,12/13/19 09:57:58 AM,11.14,,,,,
66,12/13/19 09:57:59 AM,11.14,,,,,
67,12/13/19 09:58:00 AM,11.14,,,,,
68,12/13/19 09:58:01 AM,11.14,,,,,
69,12/13/19 09:58:02 AM,11.14,,,,,
70,12/13/19 09:58:03 AM,11.47,,,,,
71,12/13/19 09:58:04 AM,11.47,,,,,
72,12/13/19 09:58:05 AM,11.47,,,,,
73,12/13/19 09:58:06 AM,11.14,,,,,
74,12/13/19 09:58:07 AM,11.14,,,,,
75,12/13/19 09:58:08 AM,11.47,,,,,
76,12/13/19 09:58:09 AM,11.47,,,,,
77,12/13/19 09:58:10 AM,11.47,,,,,
78,12/13/19 09:58:11 AM,11.47,,,,,
79,12/13/19 09:58:12 AM,11.47,,,,,
80,12/13/19 09:58:13 AM,11.47,,,,,
81,12/13/19 09:58:14 AM,11.47,,,,,
82,12/13/19 09:58:15 AM,11.47,,,,,
83,12/13/19 09:58:16 AM,11.47,,,,,
84,12/13/19 09:58:17 AM,11.47,,,,,
85,12/13/19 09:58:18 AM,11.47,,,,,
86,12/13/19 09:58:19 AM,11.47,,,,,
87,12/13/19 09:58:20 AM,11.47,,,,,
88,12/13/19 09:58:21 AM,11.47,,,,,
89,12/13/19 09:58:22 AM,11.47,,,,,
90,12/13/19 09:58:23 AM,11.47,,,,,
91,12/13/19 09:58:24 AM,11.47,,,,,
92,12/13/19 09:58:25 AM,11.47,,,,,
93,12/13/19 09:58:26 AM,11.47,,,,,
94,12/13/19 09:58:27 AM,11.47,,,,,
95,12/13/19 09:58:28 AM,11.47,,,,,
96,12/13/19 09:58:29 AM,11.47,,,,,
97,12/13/19 09:58:30 AM,11.47,,,,,
98,12/13/19 09:58:31 AM,11.47,,,,,
99,12/13/19 09:58:32 AM,11.47,,,,,
100,12/13/19 09:58:33 AM,11.47,,,,,
101,12/13/19 09:58:34 AM,11.47,,,,,
102,12/13/19 09:58:35 AM,11.47,,,,,
103,12/13/19 09:58:36 AM,11.47,,,,,
104,12/13/19 09:58:37 AM,11.47,,,,,
105,12/13/19 09:58:38 AM,11.47,,,,,
106,12/13/19 09:58:39 AM,11.47,,,,,
107,12/13/19 09:58:40 AM,11.47,,,,,
108,12/13/19 09:58:41 AM,11.47,,,,,
109,12/13/19 09:58:42 AM,11.47,,,,,
110,12/13/19 09:58:43 AM,11.47,,,,,
111,12/13/19 09:58:44 AM,11.47,,,,,
112,12/13/19 09:58:45 AM,11.47,,,,,
