"Plot Title: 6l"
"#","Date Time, GMT-06:00","K-Type, °C (LGR S/N: 1253385, SEN S/N: 1253385)","Started (LGR S/N: 1253385)","End Of File (LGR S/N: 1253385)"
1,12/13/19 02:06:22 PM,20.61,Logged,
2,12/13/19 02:06:23 PM,0.26,,
3,12/13/19 02:06:24 PM,12.83,,
4,12/13/19 02:06:25 PM,13.17,,
5,12/13/19 02:06:26 PM,13.17,,
6,12/13/19 02:06:27 PM,13.17,,
7,12/13/19 02:06:28 PM,13.51,,
8,12/13/19 02:06:29 PM,13.17,,
9,12/13/19 02:06:30 PM,13.17,,
10,12/13/19 02:06:31 PM,13.17,,
11,12/13/19 02:06:32 PM,13.17,,
12,12/13/19 02:06:33 PM,13.17,,
13,12/13/19 02:06:34 PM,13.17,,
14,12/13/19 02:06:35 PM,13.17,,
15,12/13/19 02:06:36 PM,13.17,,
16,12/13/19 02:06:37 PM,13.17,,
17,12/13/19 02:06:38 PM,13.17,,
18,12/13/19 02:06:39 PM,13.17,,
19,12/13/19 02:06:40 PM,13.17,,
20,12/13/19 02:06:41 PM,13.17,,
21,12/13/19 02:06:42 PM,13.17,,
22,12/13/19 02:06:43 PM,13.17,,
23,12/13/19 02:06:44 PM,13.17,,
24,12/13/19 02:06:45 PM,13.17,,
25,12/13/19 02:06:46 PM,13.17,,
26,12/13/19 02:06:47 PM,13.17,,
27,12/13/19 02:06:48 PM,13.17,,
28,12/13/19 02:06:49 PM,13.17,,
29,12/13/19 02:06:50 PM,13.51,,
30,12/13/19 02:06:51 PM,13.51,,
31,12/13/19 02:06:52 PM,13.17,,
32,12/13/19 02:06:53 PM,13.17,,
33,12/13/19 02:06:54 PM,13.17,,
34,12/13/19 02:06:55 PM,13.51,,
35,12/13/19 02:06:56 PM,13.51,,
36,12/13/19 02:06:57 PM,13.17,,
37,12/13/19 02:06:58 PM,13.17,,
38,12/13/19 02:06:59 PM,13.17,,
39,12/13/19 02:07:00 PM,13.17,,
40,12/13/19 02:07:01 PM,13.17,,
41,12/13/19 02:07:02 PM,13.17,,
42,12/13/19 02:07:03 PM,13.17,,
43,12/13/19 02:07:04 PM,13.17,,
44,12/13/19 02:07:05 PM,13.17,,
45,12/13/19 02:07:06 PM,13.17,,
46,12/13/19 02:07:07 PM,13.17,,
47,12/13/19 02:07:08 PM,13.17,,
48,12/13/19 02:07:09 PM,13.17,,
49,12/13/19 02:07:10 PM,13.17,,
50,12/13/19 02:07:11 PM,13.17,,
51,12/13/19 02:07:12 PM,13.17,,
52,12/13/19 02:07:13 PM,13.17,,
53,12/13/19 02:07:14 PM,13.17,,
54,12/13/19 02:07:15 PM,13.17,,
55,12/13/19 02:07:16 PM,13.51,,
56,12/13/19 02:07:17 PM,13.51,,
57,12/13/19 02:07:18 PM,13.17,,
58,12/13/19 02:07:19 PM,13.17,,
59,12/13/19 02:07:20 PM,13.51,,
60,12/13/19 02:07:21 PM,13.51,,
61,12/13/19 02:07:22 PM,13.51,,
62,12/13/19 02:07:23 PM,13.51,,
63,12/13/19 02:07:24 PM,13.51,,
64,12/13/19 02:07:25 PM,13.51,,
65,12/13/19 02:07:26 PM,12.83,,
66,12/13/19 02:07:27 PM,12.83,,
67,12/13/19 02:07:28 PM,12.49,,
68,12/13/19 02:07:29 PM,12.49,,
69,12/13/19 02:07:30 PM,12.49,,
70,12/13/19 02:07:31 PM,12.49,,
71,12/13/19 02:07:32 PM,12.15,,
72,12/13/19 02:07:33 PM,12.15,,
73,12/13/19 02:07:34 PM,12.15,,
74,12/13/19 02:07:35 PM,12.15,,
75,12/13/19 02:07:36 PM,12.15,,
76,12/13/19 02:07:37 PM,11.81,,
77,12/13/19 02:07:38 PM,12.15,,
78,12/13/19 02:07:39 PM,11.81,,
79,12/13/19 02:07:40 PM,11.81,,
80,12/13/19 02:07:41 PM,11.81,,
81,12/13/19 02:07:42 PM,11.81,,
82,12/13/19 02:07:43 PM,11.47,,
83,12/13/19 02:07:44 PM,11.47,,
84,12/13/19 02:07:45 PM,11.47,,
85,12/13/19 02:07:46 PM,11.47,,
86,12/13/19 02:07:47 PM,11.47,,
87,12/13/19 02:07:48 PM,11.47,,
88,12/13/19 02:07:49 PM,11.47,,
89,12/13/19 02:07:50 PM,11.47,,
90,12/13/19 02:07:51 PM,11.47,,
91,12/13/19 02:07:52 PM,11.47,,
92,12/13/19 02:07:53 PM,11.47,,
93,12/13/19 02:07:54 PM,11.14,,
94,12/13/19 02:07:55 PM,11.47,,
95,12/13/19 02:07:56 PM,11.14,,
96,12/13/19 02:07:57 PM,11.47,,
97,12/13/19 02:07:58 PM,11.14,,
98,12/13/19 02:07:59 PM,11.14,,
99,12/13/19 02:08:00 PM,11.14,,
100,12/13/19 02:08:01 PM,11.14,,
101,12/13/19 02:08:02 PM,11.14,,
102,12/13/19 02:08:03 PM,11.14,,
103,12/13/19 02:08:04 PM,11.14,,
104,12/13/19 02:08:05 PM,10.80,,
