"Plot Title: 8s"
"#","Date Time, GMT-06:00","K-Type, °C (LGR S/N: 1283012, SEN S/N: 1283012)","Started (LGR S/N: 1283012)","Bad Battery (LGR S/N: 1283012)","End Of File (LGR S/N: 1283012)"
1,12/14/19 09:00:11 AM,2.30,Logged,,
2,12/14/19 09:00:12 AM,2.30,,,
3,12/14/19 09:00:13 AM,2.30,,,
4,12/14/19 09:00:14 AM,2.30,,,
5,12/14/19 09:00:15 AM,2.30,,,
6,12/14/19 09:00:16 AM,2.30,,,
7,12/14/19 09:00:17 AM,2.30,,,
8,12/14/19 09:00:18 AM,2.30,,,
9,12/14/19 09:00:19 AM,2.30,,,
10,12/14/19 09:00:20 AM,2.30,,,
11,12/14/19 09:00:21 AM,2.30,,,
12,12/14/19 09:00:22 AM,2.30,,,
13,12/14/19 09:00:23 AM,2.30,,,
14,12/14/19 09:00:24 AM,2.30,,,
15,12/14/19 09:00:25 AM,2.30,,,
16,12/14/19 09:00:26 AM,2.30,,,
17,12/14/19 09:00:27 AM,2.30,,,
18,12/14/19 09:00:28 AM,2.30,,,
19,12/14/19 09:00:29 AM,1.96,,,
20,12/14/19 09:00:30 AM,1.96,,,
21,12/14/19 09:00:31 AM,1.96,,,
22,12/14/19 09:00:32 AM,1.62,,,
23,12/14/19 09:00:33 AM,1.62,,,
24,12/14/19 09:00:34 AM,1.62,,,
25,12/14/19 09:00:35 AM,1.62,,,
26,12/14/19 09:00:36 AM,1.62,,,
27,12/14/19 09:00:37 AM,1.62,,,
28,12/14/19 09:00:38 AM,1.62,,,
29,12/14/19 09:00:39 AM,1.62,,,
30,12/14/19 09:00:40 AM,1.62,,,
31,12/14/19 09:00:41 AM,1.62,,,
32,12/14/19 09:00:42 AM,1.62,,,
33,12/14/19 09:00:43 AM,1.62,,,
34,12/14/19 09:00:44 AM,1.62,,,
35,12/14/19 09:00:45 AM,1.62,,,
36,12/14/19 09:00:46 AM,1.62,,,
37,12/14/19 09:00:47 AM,1.62,,,
38,12/14/19 09:00:48 AM,1.62,,,
39,12/14/19 09:00:49 AM,1.62,,,
40,12/14/19 09:00:50 AM,1.96,,,
41,12/14/19 09:00:51 AM,1.62,,,
42,12/14/19 09:00:52 AM,1.62,,,
43,12/14/19 09:00:53 AM,1.62,,,
44,12/14/19 09:00:54 AM,1.62,,,
45,12/14/19 09:00:55 AM,1.62,,,
46,12/14/19 09:00:56 AM,1.62,,,
47,12/14/19 09:00:57 AM,1.62,,,
48,12/14/19 09:00:58 AM,1.62,,,
49,12/14/19 09:00:59 AM,1.62,,,
50,12/14/19 09:01:00 AM,1.62,,,
51,12/14/19 09:01:01 AM,1.62,,,
52,12/14/19 09:01:02 AM,1.62,,,
53,12/14/19 09:01:03 AM,1.62,,,
54,12/14/19 09:01:04 AM,1.62,,,
55,12/14/19 09:01:05 AM,1.62,,,
56,12/14/19 09:01:06 AM,1.62,,,
57,12/14/19 09:01:07 AM,1.62,,,
58,12/14/19 09:01:08 AM,1.62,,,
59,12/14/19 09:01:09 AM,1.62,,,
60,12/14/19 09:01:10 AM,1.62,,,
61,12/14/19 09:01:11 AM,1.62,,,
62,12/14/19 09:01:12 AM,1.62,,,
63,12/14/19 09:01:13 AM,1.62,,,
64,12/14/19 09:01:14 AM,1.62,,,
65,12/14/19 09:01:15 AM,1.62,,,
66,12/14/19 09:01:16 AM,1.62,,,
67,12/14/19 09:01:17 AM,1.62,,,
68,12/14/19 09:01:18 AM,1.62,,,
69,12/14/19 09:01:19 AM,1.62,,,
70,12/14/19 09:01:20 AM,1.62,,,
71,12/14/19 09:01:21 AM,1.62,,,
72,12/14/19 09:01:22 AM,1.62,,,
73,12/14/19 09:01:23 AM,1.62,,,
74,12/14/19 09:01:24 AM,1.62,,,
75,12/14/19 09:01:25 AM,1.62,,,
76,12/14/19 09:01:26 AM,1.62,,,
77,12/14/19 09:01:27 AM,1.62,,,
78,12/14/19 09:01:28 AM,1.62,,,
79,12/14/19 09:01:29 AM,1.62,,,
80,12/14/19 09:01:30 AM,1.62,,,
81,12/14/19 09:01:31 AM,1.62,,,
82,12/14/19 09:01:32 AM,1.62,,,
83,12/14/19 09:01:33 AM,1.62,,,
84,12/14/19 09:01:34 AM,1.62,,,
85,12/14/19 09:01:35 AM,1.62,,,
86,12/14/19 09:01:36 AM,1.62,,,
87,12/14/19 09:01:37 AM,1.62,,,
88,12/14/19 09:01:38 AM,1.62,,,
89,12/14/19 09:01:39 AM,1.62,,,
90,12/14/19 09:01:40 AM,1.62,,,
91,12/14/19 09:01:41 AM,1.62,,,
92,12/14/19 09:01:42 AM,1.62,,,
93,12/14/19 09:01:43 AM,1.62,,,
94,12/14/19 09:01:44 AM,1.62,,,
95,12/14/19 09:01:45 AM,1.62,,,
96,12/14/19 09:01:46 AM,1.62,,,
97,12/14/19 09:01:47 AM,1.62,,,
98,12/14/19 09:01:48 AM,1.62,,,
99,12/14/19 09:01:49 AM,1.62,,,
100,12/14/19 09:01:50 AM,1.62,,,
101,12/14/19 09:01:51 AM,1.62,,,
102,12/14/19 09:01:52 AM,1.62,,,
103,12/14/19 09:01:53 AM,1.62,,,
104,12/14/19 09:01:54 AM,1.62,,,
105,12/14/19 09:01:55 AM,1.62,,,
106,12/14/19 09:01:56 AM,1.62,,,
107,12/14/19 09:01:57 AM,1.62,,,
108,12/14/19 09:01:58 AM,1.62,,,
109,12/14/19 09:01:59 AM,1.62,,,
110,12/14/19 09:02:00 AM,1.62,,,
111,12/14/19 09:02:01 AM,1.62,,,
112,12/14/19 09:02:02 AM,1.96,,,
113,12/14/19 09:02:03 AM,1.62,,,
114,12/14/19 09:02:04 AM,1.96,,,
115,12/14/19 09:02:05 AM,1.96,,,
116,12/14/19 09:02:06 AM,1.96,,,
117,12/14/19 09:02:07 AM,1.62,,,
118,12/14/19 09:02:08 AM,1.96,,,
119,12/14/19 09:02:09 AM,1.62,,,
120,12/14/19 09:02:10 AM,1.96,,,
121,12/14/19 09:02:11 AM,1.96,,,
122,12/14/19 09:02:12 AM,1.62,,,
