hobo.id,tree.id,unit
26,mo616,NW
29,mo611,NW
17,mo609,NW
8,mo610,NW
34,mo612,NW
24,mo613,NW
33,mo617,NW
4,mo607,NW
9,mo618,NW
25,mo606,NW
19,mo608,NW
16,mo614,NW
30,mo615,NW
32,mo602,NW
5,mo604,NW
21,mo601,NW
15,mo605,NW
1,mo603,NW
20,mo620,NW
10,mo619,NW
20,mo632,SW
27,mo631,SW
19,mo621,SW
34,mo633,SW
16,mo634,SW
7,mo624,SW
22,mo623,SW
30,mo637,SW
9,mo636,SW
31,mo635,SW
6,mo622,SW
8,mo625,SW
25,mo630,SW
10,mo629,SW
23,mo628,SW
29,mo627,SW
33,mo640,SW
18,mo638,SW
24,mo682,SW
17,mo626,SW
10,mo661,NE
23,mo662,NE
8,mo663,NE
9,mo664,NE
7,mo665,NE
26,mo666,NE
30,mo667,NE
6,mo668,NE
34,mo669,NE
18,mo670,NE
21,mo680,NE
22,mo679,NE
20,mo678,NE
4,mo676,NE
15,mo671,NE
16,mo672,NE
1,mo673,NE
29,mo674,NE
19,mo675,NE
27,mo677,NE
16,mo659,SE
1,mo660,SE
3,mo656,SE
4,mo657,SE
5,mo658,SE
27,mo645,SE
24,mo646,SE
35,mo644,SE
32,mo643,SE
17,mo641,SE
15,mo642,SE
22,mo652,SE
25,mo651,SE
20,mo655,SE
21,mo654,SE
18,mo653,SE
33,mo650,SE
31,mo649,SE
29,mo648,SE
19,mo647,SE
