date,time,unit,RH,temp,crnt_ws,ave_ws,max_ws
12/13/19,13:55,SE,41.6,59.5,1.3,0.9,3
12/13/19,14:11,SE,37.1,63.4,1.9,0.7,3.1
12/13/19,14:27,SE,39.8,62.6,2.3,0.7,3.6
12/13/19,14:42,SE,38.1,60.6,2.1,0.7,5.9
12/13/19,14:57,SE,34.1,63.3,4.3,1.3,5.9
12/13/19,15:11,SE,36,63.3,4.3,1.3,5.9
12/13/19,18:13,NE,67.7,39.5,1.1,1.1,1.3
12/13/19,18:25,NE,89.2,43.1,1.6,0.6,2.1
12/13/19,18:36,NE,83.8,40.1,1.3,0,2.1
12/13/19,18:42,NE,82.9,42.3,0,0,2.1
12/14/19,11:40,SW,80.4,35.2,2,2.3,6
12/14/19,11:55,SW,66.8,38.8,3.7,1.4,6.4
12/14/19,12:06,SW,69.2,39.4,3.3,1.1,6.9
12/14/19,14:06,NW,60.8,42.4,2.4,1.2,4.4
12/14/19,14:18,NW,66.8,38.8,2.2,0.8,4.6
12/14/19,14:28,NW,50.6,26.6,2.4,0.7,4.6
